#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
1E0657_56                           5356          NF      0.2960      0.0060      0.0003      8.3370      0.4168
1E0657_56                           3184          NF      0.2960      0.0060      0.0003      8.3370      0.4168
1E0657_56                           5361          NF      0.2960      0.0060      0.0003      8.3370      0.4168
ABELL_1063S                         4966          NF      0.3540      0.0100      0.0005     21.1003      1.0550
ABELL_3074                          6950          NF      0.0730      0.0060      0.0003      0.3844      0.0192
ABELL_3074                          7374          NF      0.0730      0.0060      0.0003      0.3844      0.0192
ABELL_3112                          2516           F      0.0720      1.9150      0.0575    119.1622      3.5780
ABELL_3120                          6951           F      0.0690      0.0476      0.0016      2.7085      0.0910
ABELL_3158                          3201          NF      0.0580      0.0060      0.0003      0.2374      0.0119
ABELL_3158                          3712          NF      0.0580      0.0060      0.0003      0.2374      0.0119
ABELL_3266                           899          NF      0.0590      0.0060      0.0003      0.2460      0.0123
ABELL_3391                          4943          NF      0.0560      0.0060      0.0003      0.2207      0.0110
ABELL_3395                          4944          NF      0.0510      0.0060      0.0003      0.1817      0.0091
ABELL_3667                          5751          NF      0.0566      0.0060      0.0003      0.2256      0.0113
ABELL_3667                           889          NF      0.0566      0.0060      0.0003      0.2256      0.0113
ABELL_3667                          5752          NF      0.0566      0.0060      0.0003      0.2256      0.0113
ABELL_3667                          5753          NF      0.0566      0.0060      0.0003      0.2256      0.0113
ABELL_3822                          8269          NF      0.0759      0.0060      0.0003      0.4172      0.0209
ABELL_3921                          4973          NF      0.0927      0.0060      0.0003      0.6374      0.0319
ABELL_S0405                         8272           F      0.0613      0.0285      0.0012      1.2657      0.0533
ABELL_S0592                         9420          NF      0.2216      0.0060      0.0003      4.2981      0.2149
CENTAURUS                           4954           F      0.0109      5.6740      0.1703      7.3813      0.2215
ESO_3060170                         3188           F      0.0358      0.0201      0.0016      0.2931      0.0233
ESO_3060170                         3189           F      0.0358      0.0201      0.0016      0.2931      0.0233
RX_J0232.2_4420                     4993          NF      0.2836      0.0100      0.0005     12.5857      0.6293
SERSIC_159_03                       1668           F      0.0580      0.4721      0.0142     18.6788      0.5618
RX_J1539.5_8335                     8266           F      0.0728      0.0616      0.0030      3.9233      0.1911
