#Name                              Obsid         z       LII       BII      SLII      BLII      Flux   Fluxerr               SUMMS Name     Ldiff     Bdiff      Stat
1E0657_56                           5356    0.2960   266.021   -21.250   266.020   -21.249    61.300     5.500     SUMSS J065829-555634    -0.001     0.001    toofar
1E0657_56                           3184    0.2960   266.021   -21.250   266.020   -21.249    61.300     5.500     SUMSS J065829-555634    -0.001     0.001    toofar
1E0657_56                           5361    0.2960   266.021   -21.250   266.020   -21.249    61.300     5.500     SUMSS J065829-555634    -0.001     0.001    toofar
ABELL_1063S                         4966    0.3540   349.479   -59.935   349.518   -59.948    29.400     3.000     SUMSS J224845-443025     0.039    -0.013    toofar
ABELL_3074                          6950    0.0730   269.024   -55.233   269.081   -55.241   143.500     6.100     SUMSS J025801-524501     0.057    -0.008    toofar
ABELL_3074                          7374    0.0730   269.024   -55.233   269.081   -55.241   143.500     6.100     SUMSS J025801-524501     0.057    -0.008    toofar
ABELL_3112                          2516    0.0720   252.935   -56.079   252.935   -56.079  1915.000    57.500     SUMSS J031757-441418     0.001    -0.000      good
ABELL_3120                          6951    0.0690   263.816   -52.794   263.816   -52.794    47.600     1.600     SUMSS J032156-511935     0.000    -0.000      good
ABELL_3158                          3201    0.0580   265.035   -48.938   265.046   -48.939    17.300     1.300     SUMSS J034252-533748     0.012    -0.001    toofar
ABELL_3158                          3712    0.0580   265.035   -48.938   265.046   -48.939    17.300     1.300     SUMSS J034252-533748     0.012    -0.001    toofar
ABELL_3266                           899    0.0590   272.153   -40.147   272.107   -40.163    44.600     1.900     SUMSS J043112-612513    -0.046    -0.016    toofar
ABELL_3391                          4943    0.0560   262.377   -25.152   262.296   -25.206    45.500     3.700     SUMSS J062553-533807    -0.081    -0.054    toofar
ABELL_3395                          4944    0.0510   263.304   -25.273   263.216   -25.373    53.200     2.500     SUMSS J062557-542902    -0.088    -0.101    toofar
ABELL_3667                          5751    0.0566   340.848   -33.416   340.945   -33.314    17.500     2.700     SUMSS J201156-564547     0.097     0.102    toofar
ABELL_3667                           889    0.0566   340.848   -33.416   340.945   -33.314    17.500     2.700     SUMSS J201156-564547     0.097     0.102    toofar
ABELL_3667                          5752    0.0566   340.848   -33.416   340.945   -33.314    17.500     2.700     SUMSS J201156-564547     0.097     0.102    toofar
ABELL_3667                          5753    0.0566   340.848   -33.416   340.945   -33.314    17.500     2.700     SUMSS J201156-564547     0.097     0.102    toofar
ABELL_3822                          8269    0.0759   335.581   -46.442   335.752   -46.427    49.500     3.100     SUMSS J215335-574602     0.171     0.016    toofar
ABELL_3921                          4973    0.0927   321.953   -47.967   321.951   -47.992    87.900     2.800     SUMSS J225007-642439    -0.002    -0.025    toofar
ABELL_S0405                         8272    0.0613   296.413   -32.476   296.413   -32.475    28.500     1.200     SUMSS J035133-821311     0.000     0.000      good
ABELL_S0592                         9420    0.2216   263.138   -23.428   263.135   -23.436    60.500     2.300     SUMSS J063845-535824    -0.003    -0.008    toofar
CENTAURUS                           4954    0.0109   302.402    21.557   302.403    21.557  5674.000   170.300     SUMSS J124849-411842     0.001     0.001      good
ESO_3060170                         3188    0.0358   246.411   -30.289   246.413   -30.290    20.100     1.600     SUMSS J054006-405020     0.002    -0.001      good
ESO_3060170                         3189    0.0358   246.411   -30.289   246.413   -30.290    20.100     1.600     SUMSS J054006-405020     0.002    -0.001      good
RX_J0232.2_4420                     4993    0.2836   259.962   -63.447   259.965   -63.448    50.000     3.100     SUMSS J023218-442050     0.003    -0.000    toofar
SERSIC_159_03                       1668    0.0580   348.345   -64.816   348.341   -64.814   472.100    14.200     SUMSS J231358-424341    -0.003     0.001      good
RX_J1539.5_8335                     8266    0.0728   307.565   -22.292   307.565   -22.292    61.600     3.000     SUMSS J153933-833524     0.000    -0.000      good
ABELL_3827                          7920    0.0984   332.232   -46.377   332.240   -46.400     7.800     0.900     SUMSS J220201-595544     0.008    -0.023    toofar
