#Name                        pV        min       plus       Pcav        min       plus         LX        min       plus      Mcool        min       plus      Lcool        min       plus      rcool	tcs      tfill  tbuoy
#                        10^58e        ---        ---   10^42e/s        ---        ---   10^42e/s        ---        ---    Msun/yr        ---        ---   10^42e/s        ---        ---        kpc	1d7yr    1d7yr  1d7yr
2A_0335+096               1.100      0.300      1.000     24.000      6.000     23.000    338.000      2.000      2.000     29.000      5.000      7.000     13.000      4.000      4.000    135.000	3.70     4.60  11.00
3C_388                    5.200      2.100      7.500    200.000     80.000    280.000     27.000      3.000      2.000      3.000      0.000      0.000      2.000      0.000      0.000     55.000	2.90     7.60   3.60
3C_401                   11.000      7.000     20.000     50.000    420.000   1200.000     37.000      7.000      2.000     12.000      6.000      5.000      7.000      3.000      3.000     62.000	1.60     6.40   2.10
4C_55.16                 12.000      4.000     12.000    420.000    160.000    440.000    640.000     20.000     20.000     70.000     30.000     30.000     70.000     20.000     20.000    162.000	2.30     7.30   4.10
ABELL_0085                1.200      0.400      1.200     37.000     11.000     37.000    365.000     20.000     20.000     18.000      9.000     13.000     30.000     10.000     20.000    142.000	2.30     5.10   4.20
ABELL_0133               24.000      1.000     11.000    620.000     20.000    260.000    106.000      2.000      2.000      5.000      3.000      3.000      3.000      2.000      2.000     93.000	3.80    14.00   5.10
ABELL_0262                0.130      0.030      0.100      9.700      2.600      7.500     11.100      0.300      0.400      0.700      0.000      0.000      0.300      0.000      0.000     57.000	1.50     2.90   1.70
ABELL_0426               19.000      5.000     20.000    150.000     30.000    100.000    554.000      2.000      2.000     20.000      8.000      9.000     21.000      7.000      8.000     90.000	1.00     4.90   1.60
ABELL_0478                 1.500      0.400      1.100    100.000     20.000     80.000   1440.000     10.000     10.000     40.000     20.000     40.000     40.000     20.000     50.000    150.000	1.00     2.90   1.80
ABELL_1068                0.000      0.000      0.000     20.000      0.000      0.000      0.000     48.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000    152.000	0.00     0.00   0.00
ABELL_1795                4.700      1.600      6.600    160.000     50.000    230.000    625.000     11.000      6.000      8.000      7.000     13.000     10.000      9.000     14.000    135.000	1.90     6.80   3.70
ABELL_1835               47.000     16.000     50.000   1800.000    600.000   1900.000   3160.000     90.000     60.000      0.000      0.000      0.000      0.000      0.000      0.000    156.000	2.10     8.30   4.10
ABELL_2029                4.800      0.100      2.700     87.000      4.000     49.000   1160.000     10.000     10.000      1.900      0.000      0.000      3.000      0.000      0.000    140.000	2.50     6.80   6.90
ABELL_2052                1.700      0.700      2.300    150.000     70.000    200.000     97.000      1.000      1.000      7.000      0.400      0.900      3.400      0.200      0.500     87.000	1.80     5.50   1.90
ABELL_2199                7.500      1.500      6.600    270.000     60.000    250.000    142.000      1.000      1.000      3.000      0.000      0.000      3.000      0.000      0.000     91.000	2.30     7.70   3.80
ABELL_2597                3.600      1.500      4.600     67.000     29.000     87.000    470.000     17.000      8.000     30.000     20.000     30.000     30.000     20.000     30.000    128.000	2.40     8.60   6.60
ABELL_4059                3.000      0.900      2.500     96.000     35.000     89.000     93.000      1.000      1.000      3.000      2.000      2.000      2.000      1.000      1.000     85.000	2.70     8.40   4.20
CENTAURUS                 0.060      0.015      0.051      7.400      1.800      5.800     28.100      0.300      0.300      2.700      0.100      0.200      4.300      0.200      0.200     54.000	1.00     2.20   1.30
CYGNUS_A                 84.000     14.000     70.000   1300.000    200.000   1100.000    420.000      4.000      4.000     31.000      6.000      7.000     50.000     10.000     10.000     91.000	3.60    17.00   7.80
HCG_0062                  0.046      0.028      0.073      3.900      2.300      6.100      1.800      0.200      0.200      0.300      0.000      0.000      0.100      0.000      0.000     33.000	1.80     2.80   1.60
HERCULES_A               31.000      9.000     40.000    310.000     90.000    400.000    210.000     20.000     10.000     58.000      0.000      0.000     46.000      0.000      0.000    104.000	6.00    19.00  13.00
HYDRA_A                  64.000     11.000     48.000    430.000     50.000    200.000    282.000      2.000      2.000     16.000      5.000      5.000     13.000      4.000      4.000    109.000	6.60    19.00  12.00
MACS_J1423.8+2404        29.000     19.000     52.000   1400.000    900.000   2500.000   2290.000     30.000     30.000    140.000     90.000    110.000     90.000     60.000     70.000    187.000	1.60     5.90   2.80
MKW3S                    38.000      4.000     39.000    410.000     44.000    420.000    104.000      2.000      2.000      5.000      2.000      3.000      5.000      2.000      3.000    120.000	6.00    21.00  12.00
MS_0735.6+7421         1600.000    600.000   1700.000   6900.000   2600.000   7600.000    450.000     10.000     10.000     20.000     10.000     20.000     12.000      8.000     13.000    141.000	15.00   66.00  33.00
PKS_0745-191             69.000     10.000     56.000   1700.000    300.000   1400.000   2300.000     30.000     30.000    170.000     90.000     90.000    230.000    120.000    120.000    176.000	3.00    12.00   5.20
PKS_1404-267              0.120      0.050      0.150     20.000      9.000     26.000     27.000      1.000      1.000      5.000      2.000      2.000      3.000      1.000      1.000     83.000	0.80     2.00   0.90
RBS_0797                 38.000     15.000     50.000   1200.000    500.000   1700.000   3100.000    130.000    100.000    200.000    180.000    490.000    250.000    220.000    400.000    185.000	2.20     7.50   5.00
SERSIC_159-03            25.000      8.000     26.000    780.000    260.000    820.000    220.000      6.000      6.000     15.000      9.000      9.000      9.000      5.000      5.000    136.000	3.30    11.00   4.20
ZWCL_2701               350.000    200.000    530.000   6000.000   3500.000   8900.000    430.000     30.000     20.000      8.000      0.000      0.000      6.000      0.000      0.000    135.000	4.70    20.00   7.20
ZWCL_3146               380.000    110.000    460.000   5800.000   1500.000   6800.000   3010.000     90.000     70.000    590.000    170.000    190.000    680.000    150.000    170.000    186.000	5.00    21.00  10.00
