#Cluster                   Obsid     IDOF_K0   ICHISQ_K0    IPVAL_K0   IDOF_PLAW ICHISQ_PLAW  IPVAL_PLAW     FDOF_K0   FCHISQ_K0    FPVAL_K0   FDOF_PLAW FCHISQ_PLAW  FPVAL_PLAW
1E0657_56           5356_3184_53          45      42.095  5.9575E-01          46     146.177  2.3120E-12          45      42.867  5.6270E-01          46     157.034  4.7733E-14
ABELL_0209              3579_522          16       2.485  9.9995E-01          17       7.875  9.6914E-01          16       2.734  9.9991E-01          17       8.033  9.6583E-01
ABELL_0262             7921_2215          27      52.370  2.3956E-03          28     159.476  2.3639E-20          27      60.174  2.5030E-04          28     199.732  7.7040E-28
ABELL_0267             3580_1448          19       0.623  1.0000E+00          20      22.637  3.0695E-01          19       0.618  1.0000E+00          20      22.712  3.0316E-01
ABELL_0401              518_2309          57       8.703  1.0000E+00          58     134.726  4.8132E-08          57       8.360  1.0000E+00          58     142.558  4.5014E-09
ABELL_0426             3209_4289          53    1040.288 3.0987E-183          54    6429.996  0.0000E+00          53    1045.733 2.3253E-184          54    6447.720  0.0000E+00
ABELL_0478             1669_6102          46      20.377  9.9962E-01          47      66.619  3.1294E-02          46      22.582  9.9855E-01          47      81.788  1.2494E-03
ABELL_0539             5808_7209           8       1.805  9.8642E-01           9      10.025  3.4844E-01           8       2.122  9.7704E-01           9      10.078  3.4422E-01
ABELL_0907          3205_3185_53          28       7.334  9.9997E-01          29      32.964  2.7919E-01          28       7.620  9.9995E-01          29      41.741  5.9245E-02
ABELL_1644             7922_2206           8       0.496  9.9987E-01           9      43.934  1.4514E-06           8       1.249  9.9614E-01           9     108.102  3.5779E-19
ABELL_1664             7901_1648          10      27.581  2.1058E-03          11      82.777  4.2742E-13          10      16.235  9.3089E-02          11     127.129  6.6256E-22
ABELL_1689          540_1663_500          17       7.342  9.7867E-01          18      52.717  2.9019E-05          17       7.342  9.7867E-01          18      52.717  2.9019E-05
ABELL_1795              493_5289          50      33.329  9.6644E-01          51     271.734  7.0957E-32          50      35.743  9.3588E-01          51     292.750  1.1841E-35
ABELL_2029          4977_6101_89          55      82.777  9.0942E-03          56     146.101  5.6324E-10          55      58.947  3.3326E-01          56     235.507  7.1002E-24
ABELL_2052              5807_890          26     374.855  1.6730E-63          27     541.692  3.7111E-97          26     387.052  5.5073E-66          27     580.667 3.0325E-105
ABELL_2063             4187_6263          49      37.821  8.7698E-01          50     224.137  6.7225E-24          49      37.821  8.7698E-01          50     224.137  6.7225E-24
ABELL_2142          5005_1228_11          72      17.261  1.0000E+00          73     240.813  8.5102E-20          72      17.980  1.0000E+00          73     334.999  3.3116E-35
ABELL_2204          7940_6104_49          12      22.731  3.0094E-02          13     102.324  5.8747E-16          12      22.731  3.0094E-02          13     102.324  5.8747E-16
ABELL_3158             3201_3712          69      22.540  1.0000E+00          70      71.317  4.3371E-01          69      22.540  1.0000E+00          70      71.317  4.3371E-01
ABELL_3376             3202_3450          64       5.464  1.0000E+00          65     112.424  2.3943E-04          64       5.464  1.0000E+00          65     112.424  2.3943E-04
ABELL_3667          5751_889_575          53      21.137  9.9997E-01          54      44.433  8.2020E-01          53      22.838  9.9991E-01          54      52.833  5.1948E-01
CENTAURUS           5310_4190_41          24     253.130  3.9529E-40          25    1159.864 6.1663E-229          24     483.384  4.6700E-87          25    3151.585  0.0000E+00
CID_0072            7321_2018_69          34     135.514  4.5995E-14          35     313.606  1.7376E-46          34     129.238  5.0370E-13          35     634.019 4.8167E-111
CL_J1226.9+3332     5014_3180_93           7       0.754  9.9789E-01           8       4.807  7.7795E-01           7       0.754  9.9789E-01           8       4.807  7.7795E-01
ESO_3060170            3188_3189           2       0.770  6.8029E-01           3      25.782  1.0593E-05           2       0.810  6.6692E-01           3      26.698  6.8114E-06
HERCULES_A          5796_6257_16          13       2.338  9.9946E-01          14       6.229  9.6038E-01          13       6.240  9.3699E-01          14      46.888  2.0056E-05
HYDRA_A                 4970_576          54      71.439  5.6151E-02          55     364.387  3.3649E-47          54      72.657  4.6016E-02          55     379.857  4.3984E-50
M87                    5826_5827          85     749.918 4.9389E-107          86    2083.550  0.0000E+00          85     763.713 1.0610E-109          86    2130.015  0.0000E+00
MACS_J0011.7-1523      6105_3261          13       1.954  9.9980E-01          14       5.876  9.6952E-01          13       2.278  9.9953E-01          14       7.993  8.8967E-01
MACS_J0159.8-0849      6106_3265          12       2.466  9.9828E-01          13       9.441  7.3889E-01          12       3.677  9.8858E-01          13      21.082  7.1316E-02
MACS_J0257.1-2325      1654_3581          10       0.244  1.0000E+00          11       3.067  9.8981E-01          10       0.244  1.0000E+00          11       3.067  9.8981E-01
MACS_J0329.6-0211   6108_3582_32          11       9.634  5.6362E-01          12      14.826  2.5106E-01          11      11.906  3.7074E-01          12      26.771  8.3343E-03
MACS_J0717.5+3745      4200_1655          13       1.314  9.9998E-01          14       2.632  9.9957E-01          13       1.033  1.0000E+00          14       3.016  9.9905E-01
MACS_J0744.8+3927   3585_3197_61          14       3.841  9.9635E-01          15      11.912  6.8566E-01          14       3.882  9.9614E-01          15      12.980  6.0386E-01
MACS_J1115.2+5320   3253_5008_53          15       3.468  9.9903E-01          16       6.980  9.7364E-01          15       3.468  9.9903E-01          16       6.980  9.7364E-01
MACS_J1149.5+2223      3589_1656          29       1.616  1.0000E+00          30      15.325  9.8777E-01          29       1.616  1.0000E+00          30      15.325  9.8777E-01
MACS_J1311.0-0310      3258_6110          11       2.473  9.9602E-01          12      67.114  1.1058E-09          11       2.389  9.9660E-01          12      77.770  1.0969E-11
MACS_J1621.3+3810   6109_6172_32          14       6.711  9.4528E-01          15      11.722  6.9992E-01          14       7.041  9.3312E-01          15      16.967  3.2082E-01
MACS_J2214.9-1359      3259_5011          10       0.080  1.0000E+00          11       2.255  9.9738E-01          10       0.102  1.0000E+00          11       2.622  9.9484E-01
NGC_4636               4415_3926           9       8.117  5.2237E-01          10      56.253  1.8408E-08           9       8.949  4.4197E-01          10      60.028  3.5808E-09
NGC_5044               3225_3664          63      49.488  8.9287E-01          64      77.036  1.2710E-01          63      48.046  9.1840E-01          64      86.520  3.1936E-02
PKS_0745-191        2427_508_610          31      17.167  9.7882E-01          32     245.681  8.5262E-35          31      19.545  9.4507E-01          32     270.295  1.5939E-39
RBS_0533            3186_3187_58          41     202.888  2.6515E-23          42    1282.661 1.7495E-241          41     215.646  1.4575E-25          42    1490.021 3.2734E-285
RX_J0439.0+0715        3583_1449          19       5.544  9.9881E-01          20       8.747  9.8565E-01          19       6.203  9.9740E-01          20      13.409  8.5915E-01
RX_J0647.7+7015        3196_3584          21       0.424  1.0000E+00          22       9.721  9.8866E-01          21       0.424  1.0000E+00          22       9.721  9.8866E-01
RX_J1347.5-1145         3592_507           5       4.001  5.4934E-01           6       4.227  6.4602E-01           5       4.001  5.4934E-01           6       4.227  6.4602E-01
RX_J1532.9+3021        1665_1649          18       2.239  1.0000E+00          19      48.028  2.5416E-04          18       2.377  1.0000E+00          19      67.155  2.7145E-07
RX_J1720.2+3536     7225_3280_61          10       2.470  9.9131E-01          11      23.760  1.3784E-02          10       2.665  9.8825E-01          11      40.433  3.0159E-05
2A_0335+096                  919          34     173.511  1.2643E-20          35    1188.385 6.2356E-227          34     209.165  4.3892E-27          35    2097.265  0.0000E+00
2PIGG_J0011.5-2850          5797          24       2.010  1.0000E+00          25       3.189  1.0000E+00          24       2.788  1.0000E+00          25       4.402  1.0000E+00
2PIGG_J2227.0-3041          5798          20      13.137  8.7143E-01          21     132.533  3.4262E-18          20      11.497  9.3231E-01          21     202.760  1.0370E-31
3C_28.0                     3233           9      23.421  5.3172E-03          10     151.065  2.2508E-27           9      22.931  6.3529E-03          10     179.583  2.8599E-33
3C_295                      2254          14       7.524  9.1260E-01          15      27.395  2.5681E-02          14       8.363  8.6958E-01          15      34.843  2.5886E-03
3C_388                      5295          21      10.824  9.6610E-01          22      16.130  8.0939E-01          21      10.899  9.6471E-01          22      16.140  8.0886E-01
4C_55.16                    4940          18       7.524  9.8491E-01          19      46.966  3.6113E-04          18       7.923  9.7976E-01          19      50.603  1.0679E-04
ABELL_0013                  4945          32      11.582  9.9965E-01          33      32.031  5.1518E-01          32      11.582  9.9965E-01          33      32.031  5.1518E-01
ABELL_0068                  3250          28       1.718  1.0000E+00          29       3.446  1.0000E+00          28       1.718  1.0000E+00          29       3.446  1.0000E+00
ABELL_0085                   904          36      52.570  3.6683E-02          37     201.420  1.6678E-24          36      59.029  9.1049E-03          37     492.245  6.4806E-81
