#Name                             Obsid  type       z          flux           err         power           err           lum           err      surv
# --                                 --    --      --            Jy            Jy      10^40e/s      10^40e/s      10^40e/s      10^40e/s        --
1RXS_J2129.4-0741                  3199    NF  0.5700       0.00250       0.00025       4.70178       0.47018      29.21973       2.92197      NVSS
1RXS_J2129.4-0741                  3595    NF  0.5700       0.00250       0.00025       4.70178       0.47018      29.21973       2.92197      NVSS
2A_0335+096                         919     F  0.0347       0.03670       0.00180       0.14278       0.00700       0.75053       0.03681      NVSS
2PIGG_J0011.5-2850                 5797     F  0.0753       0.01100       0.00060       0.21396       0.01167       1.32966       0.07253      NVSS
2PIGG_J0311.8-2655                 5799    NF  0.0618       0.00250       0.00025       0.03212       0.00321       0.19961       0.01996      NVSS
2PIGG_J2227.0-3041                 5798     F  0.0729       0.22770       0.00680       4.13680       0.12354      25.70858       0.76776      NVSS
3C_28.0                            3233     F  0.1952       1.36170       0.04540     208.57693       6.95410    1296.22385      43.21698      NVSS
3C_295                             2254     F  0.4641      22.72010       0.68160   25969.44256     779.07987  161389.90802    4841.67609      NVSS
3C_388                             5295     F  0.0917       5.59680       0.18540     165.24195       5.47382    1026.91397      34.01763      NVSS
4C_55.16                           4940     F  0.2420       8.28310       0.24850    2061.04166      61.83299   12808.56616     384.26781      NVSS
ABELL_0013                         4945    NF  0.0940       0.00250       0.00025       0.07781       0.00778       0.48356       0.04836      NVSS
ABELL_0068                         3250    NF  0.2546       0.00250       0.00025       0.69847       0.06985       4.34070       0.43407      NVSS
ABELL_0085                          904     F  0.0558       0.05670       0.00250       0.58869       0.02596       3.65846       0.16131      NVSS
ABELL_0119                         4180    NF  0.0442       0.00250       0.00025       0.01601       0.00160       0.09948       0.00995      NVSS
ABELL_0133                         2203    NF  0.0558       0.00250       0.00025       0.02596       0.00260       2.45411       0.24541      NVSS
ABELL_0168                         3203    NF  0.0450       0.00250       0.00025       0.01661       0.00166       0.10324       0.01032      NVSS
ABELL_0168                         3204    NF  0.0450       0.00250       0.00025       0.01661       0.00166       0.10324       0.01032      NVSS
ABELL_0209                         3579    NF  0.2060       0.00250       0.00025       0.43209       0.04321       2.68530       0.26853      NVSS
ABELL_0209                          522    NF  0.2060       0.00250       0.00025       0.43209       0.04321       2.68530       0.26853      NVSS
ABELL_0222                         4967    NF  0.2130       0.00250       0.00025       0.46584       0.04658       2.89504       0.28950      NVSS
ABELL_0223                        49671     F  0.2070       0.01980       0.00080       3.45964       0.13978      21.50033       0.86870      NVSS
ABELL_0262                         2215     F  0.0164       0.06570       0.00230       0.05551       0.00194       0.21168       0.00741      NVSS
ABELL_0267                         1448    NF  0.2300       0.00250       0.00025       0.55416       0.05542       3.44388       0.34439      NVSS
ABELL_0267                         3580    NF  0.2300       0.00250       0.00025       0.55416       0.05542       3.44388       0.34439      NVSS
ABELL_0370                          515    NF  0.3747       0.00250       0.00025       1.71557       0.17156      10.66159       1.06616      NVSS
ABELL_0383                         2321     F  0.1871       0.04090       0.00130       5.69881       0.18114      35.41585       1.12569      NVSS
ABELL_0399                         3230    NF  0.0716       0.00250       0.00025       0.04373       0.00437       0.27178       0.02718      NVSS
ABELL_0401                         2309    NF  0.0745       0.00250       0.00025       0.04754       0.00475       0.29547       0.02955      NVSS
ABELL_0401                          518    NF  0.0745       0.00250       0.00025       0.04754       0.00475       0.29547       0.02955      NVSS
ABELL_0478                         1669     F  0.0883       0.03690       0.00150       1.00534       0.04087       6.24782       0.25398      NVSS
ABELL_0478                         6102     F  0.0883       0.03690       0.00150       1.00534       0.04087       6.24782       0.25398      NVSS
ABELL_0496                         3361     F  0.0328       0.12060       0.00430       0.41799       0.01490       2.59766       0.09262      NVSS
ABELL_0514                         3578    NF  0.0720       0.00250       0.00025       0.04425       0.00442       0.27498       0.02750      NVSS
