#Name                    ConSFR        min       plus     BurSFR        min       plus    CoolXMM        min       plus   CoolFUSE        min       plus
#                       Msun/yr        ---        ---    Msun/yr        ---        ---    Msun/yr        ---        ---    Msun/yr        ---        ---
2A_0335+096                4.20       0.00       0.00       0.00       0.00       0.00      20.00      10.00      10.00       0.00       0.00       0.00
ABELL_0262                 0.01      -1.00      -1.00       0.00       0.00       0.00       2.00      -1.00      -1.00       0.00       0.00       0.00
ABELL_0426                15.50       5.20       5.20       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_0426                 2.30       0.20       0.20       0.00       0.00       0.00       0.00       0.00       0.00      32.00       6.00       6.00
ABELL_0426                37.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_0478                10.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1068                18.10       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1068                28.00      12.00      12.00      46.00      21.00      21.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1795                 0.95       0.10       0.10       0.00       0.00       0.00       0.00       0.00       0.00      26.00       7.00       7.00
ABELL_1795                 1.10       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00      15.00      -1.00      -1.00
ABELL_1795                 2.10       0.90       0.90       0.00       0.00       0.00      30.00      -1.00      -1.00       0.00       0.00       0.00
ABELL_1795                 6.30       0.00       0.00      23.20       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1835               140.00      40.00      40.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1835                48.90       0.00       0.00       0.00       0.00       0.00     200.00      -1.00      -1.00       0.00       0.00       0.00
ABELL_1835                79.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_1835                79.50       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_2029                 0.15      -1.00      -1.00       0.00       0.00       0.00       0.00       0.00       0.00      27.00      -1.00      -1.00
ABELL_2052                 0.08       0.02       0.02       0.00       0.00       0.00      10.00      -1.00      -1.00       0.00       0.00       0.00
ABELL_2052                 0.31       0.10       0.10       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_2052                 0.51       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_2199                 0.10       0.03       0.03       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_2199                 0.10       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ABELL_2597                 2.30       1.30       1.30       0.00       0.00       0.00      50.00      -1.00      -1.00       0.00       0.00       0.00
ABELL_2597                 6.40       0.00       0.00      22.30       0.00       0.00       0.00       0.00       0.00      22.00       0.00       0.00
ABELL_4059                 0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00      10.00      -1.00      -1.00       0.00
HYDRA_A                    0.50      -1.00      -1.00      16.00       0.00       0.00      35.00      20.00      20.00       0.00       0.00       0.00
MKW3S                      0.03      -1.00      -1.00       0.00       0.00       0.00      10.00      -1.00      -1.00       0.00       0.00       0.00
PKS_0745-191              16.90       5.60       5.60       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ZWCL_3146                 10.70       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
ZWCL_3146                110.00      -1.00      -1.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00
