#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
1E0657_56                                5356_3184_5361    flat    0.00    1.00    48       10.00630        0.56010        0.49043        0.12155        2.44269        0.12716        1.05477    2.59703E-01
ABELL_0209                                     3579_522    flat    0.00    0.30    19        3.19524        0.76899        8.33907        1.20178        0.97183        0.16407        0.30501    9.77738E-01
ABELL_0262                                    7921_2215    flat    0.00    0.05    30        0.28819        0.01644       20.56458        0.86384        1.41080        0.03693        1.51258    1.73439E-02
ABELL_0267                                    3580_1448    flat    0.00    0.40    22        6.47316        0.65576        3.03510        0.90199        2.13790        0.31147        0.09294    9.99996E-01
ABELL_0401                                     518_2309    flat    0.00    0.40    60        6.25222        0.28464        4.51622        0.44311        1.58484        0.09190        0.22443    1.00000E+00
ABELL_0426                                    3209_4289    flat    0.00    0.10    56        0.48133        0.00461        4.81817        0.02222        1.87842        0.01181       25.60559    0.00000E+00
ABELL_0478                                    1669_6102    flat    0.00    0.40    49        0.22288        0.01607        4.51961        0.08570        1.36325        0.02292        0.44736    9.98504E-01
ABELL_0539                                    5808_7209    flat    0.00    0.03    11        0.69517        0.14139       61.13652       23.04186        1.39335        0.19143        0.29629    7.95886E-01
ABELL_0907                                3205_3185_535    flat    0.00    0.40    31        0.74251        0.07467       10.15653        0.36553        1.39000        0.04793        0.23392    9.99920E-01
ABELL_1644                                    7922_2206    flat    0.00    0.05    11        0.55502        0.04979       36.96158        5.40357        1.82372        0.11002        0.07612    9.87591E-01
ABELL_1664                                    7901_1648    flat    0.00    0.15    13        0.50839        0.03091        7.63689        0.35179        1.98799        0.08951        2.52834    6.75797E-04
ABELL_1689                                540_1663_5004    flat    0.00    0.30    20        1.35784        0.15681        4.29370        0.35219        1.53375        0.10397        0.26523    9.91542E-01
ABELL_1795                                     493_5289    flat    0.00    0.30    53        0.55025        0.02375        5.75408        0.10661        1.56495        0.02677        0.64744    9.48555E-01
ABELL_2029                                4977_6101_891    flat    0.00    0.40    58        0.18102        0.00781        5.74664        0.06172        1.30673        0.01380        2.54182    0.00000E+00
ABELL_2052                                     5807_890    flat    0.00    0.10    29        0.30688        0.02760       11.07398        0.19411        1.62203        0.03064       13.74135    0.00000E+00
ABELL_2063                                    4187_6263    flat    0.00    0.18    52        1.84178        0.10439       10.15929        0.21219        1.28465        0.04095        0.89040    5.72063E-01
ABELL_2142                               5005_1228_1196    flat    0.00    0.30    75        1.88091        0.07081        5.51335        0.15511        1.37501        0.03937        0.19331    1.00000E+00
ABELL_2204                                7940_6104_499    flat    0.00    0.20    15        0.19556        0.01186        5.00764        0.17976        1.84611        0.04858        1.64940    1.92350E-02
ABELL_3158                                    3201_3712    flat    0.00    0.40    72        6.36879        0.41218        6.98901        0.50991        1.13598        0.05635        0.43010    9.99967E-01
ABELL_3376                                    3202_3450    flat    0.00    0.30    67       20.25346        0.90775        8.74060        1.13863        1.57953        0.12857        0.12326    1.00000E+00
ABELL_3667                           5751_889_5752_5753    flat    0.00    0.30    56        9.15346        0.65390        6.31367        0.71660        1.22313        0.09329        0.31640    9.99997E-01
CENTAURUS              5310_4190_4191_4954_4955_504_505    flat    0.00    0.03    27        0.09212        0.00128       25.37462        0.48128        1.65219        0.00947       16.89923    0.00000E+00
CID_0072                            7321_2018_6949_7322    flat    0.00    0.12    37        0.33202        0.01102       12.90938        0.27049        1.21543        0.01755        4.78329    0.00000E+00
CL_J1226.9+3332                           5014_3180_932    flat    0.00    0.40    10        3.53938        0.86790        3.42258        1.33228        1.77990        0.37286        0.22147    8.17702E-01
ESO_3060170                                   3188_3189    flat    0.00    0.02     5        0.20199        0.02192      261.89120       84.27712        2.31818        0.15185        0.57865   -1.33801E-01
HERCULES_A                               5796_6257_1625    flat    0.00    0.20    16        0.21338        0.03875        8.08096        0.17802        1.23189        0.03663        0.13013    9.98204E-01
