# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
# Model: wabs(mekal+mekal/b) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
1E0657_56              5356+3184+5361   0.00   0.21  6.53  0.00  0.00 11.98 10.66 13.72  0.34  0.18  0.49   1.20e-03   3.97e-04   4.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.068   98.5   1.06    306
1E0657_56              5356+3184+5361   0.21   0.30  6.53  0.00  0.00 12.99 12.14 15.21  0.23  0.05  0.40   1.13e-03   3.68e-04   4.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.062   98.2   1.00    281
1E0657_56              5356+3184+5361   0.30   0.38  6.53  0.00  0.00 10.76  9.65 12.13  0.38  0.23  0.53   1.11e-03   3.72e-04   4.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.063   98.0   0.84    287
1E0657_56              5356+3184+5361   0.38   0.45  6.53  0.00  0.00 12.80 11.33 14.66  0.45  0.28  0.62   1.24e-03   4.04e-04   4.36e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.070   97.9   0.88    325
1E0657_56              5356+3184+5361   0.45   0.51  6.53  0.00  0.00 11.12  9.87 12.71  0.34  0.18  0.50   1.03e-03   3.22e-04   3.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.059   97.7   1.06    270
1E0657_56              5356+3184+5361   0.51   0.57  6.53  0.00  0.00 11.64 10.44 13.19  0.36  0.21  0.51   1.24e-03   3.83e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.071   97.5   1.03    318
1E0657_56              5356+3184+5361   0.57   0.63  6.53  0.00  0.00 11.86 10.50 13.58  0.26  0.11  0.42   1.11e-03   3.56e-04   3.86e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.062   97.3   1.01    285
1E0657_56              5356+3184+5361   0.63   0.69  6.53  0.00  0.00 13.23 11.62 15.45  0.34  0.16  0.52   1.14e-03   3.60e-04   3.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.063   97.3   1.01    290
1E0657_56              5356+3184+5361   0.69   0.75  6.53  0.00  0.00 11.55 10.35 13.02  0.29  0.14  0.44   1.16e-03   3.73e-04   4.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.065   96.9   1.02    293
1E0657_56              5356+3184+5361   0.75   0.80  6.53  0.00  0.00 12.60 11.07 14.63  0.30  0.13  0.47   1.17e-03   3.72e-04   4.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.065   96.7   1.01    306
1E0657_56              5356+3184+5361   0.80   0.85  6.53  0.00  0.00 10.96  9.75 12.60  0.19  0.04  0.34   1.05e-03   3.33e-04   3.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.059   96.7   0.98    262
1E0657_56              5356+3184+5361   0.85   0.91  6.53  0.00  0.00 12.39 10.97 14.23  0.20  0.04  0.35   1.24e-03   3.97e-04   4.30e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.068   96.6   0.97    319
1E0657_56              5356+3184+5361   0.91   0.97  6.53  0.00  0.00 10.84  9.71 12.23  0.37  0.22  0.52   1.22e-03   3.82e-04   4.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.069   96.3   1.04    318
1E0657_56              5356+3184+5361   0.97   1.02  6.53  0.00  0.00 16.00 13.66 19.03  0.14  0.00  0.34   1.13e-03   3.48e-04   3.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.060   96.4   1.01    285
1E0657_56              5356+3184+5361   1.02   1.07  6.53  0.00  0.00 11.64 10.37 13.28  0.31  0.15  0.46   1.13e-03   3.69e-04   3.99e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.064   96.2   0.86    298
1E0657_56              5356+3184+5361   1.07   1.12  6.53  0.00  0.00 12.09 11.33 13.98  0.14  0.00  0.29   1.18e-03   3.76e-04   4.08e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.064   96.1   0.92    290
1E0657_56              5356+3184+5361   1.12   1.16  6.53  0.00  0.00 10.54  9.43 11.93  0.25  0.10  0.39   1.13e-03   3.70e-04   4.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.063   95.9   0.89    290
1E0657_56              5356+3184+5361   1.16   1.21  6.53  0.00  0.00 10.59  9.50 11.94  0.33  0.18  0.47   1.13e-03   3.76e-04   4.06e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.065   95.8   0.98    292
1E0657_56              5356+3184+5361   1.21   1.26  6.53  0.00  0.00  9.97  8.96 11.19  0.35  0.21  0.49   1.13e-03   3.82e-04   4.12e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.065   95.5   1.04    291
1E0657_56              5356+3184+5361   1.26   1.31  6.53  0.00  0.00  9.61  8.60 10.90  0.31  0.17  0.44   1.11e-03   3.80e-04   4.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.064   95.4   1.03    282
1E0657_56              5356+3184+5361   1.31   1.37  6.53  0.00  0.00  9.12  8.33 10.04  0.35  0.23  0.47   1.25e-03   4.18e-04   4.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.073   95.0   1.04    332
1E0657_56              5356+3184+5361   1.37   1.42  6.53  0.00  0.00  9.24  8.37 10.30  0.46  0.32  0.62   1.01e-03   3.51e-04   3.81e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.060   94.9   1.14    267
1E0657_56              5356+3184+5361   1.42   1.48  6.53  0.00  0.00 10.86  9.72 12.30  0.37  0.21  0.52   1.18e-03   4.21e-04   4.47e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.067   93.8   1.03    315
1E0657_56              5356+3184+5361   1.48   1.56  6.53  0.00  0.00 11.52 10.25 13.25  0.46  0.29  0.64   1.16e-03   4.08e-04   4.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.065   92.4   0.90    305
1E0657_56              5356+3184+5361   1.56   1.63  6.53  0.00  0.00 11.87 10.51 13.57  0.26  0.10  0.42   1.11e-03   3.80e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.062   91.7   0.94    288
1E0657_56              5356+3184+5361   1.63   1.71  6.53  0.00  0.00 15.62 13.44 18.49  0.23  0.02  0.43   1.17e-03   4.03e-04   4.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.062   90.9   0.93    302
1E0657_56              5356+3184+5361   1.71   1.80  6.53  0.00  0.00 12.36 10.88 14.25  0.24  0.06  0.41   1.14e-03   3.94e-04   4.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.064   89.5   1.16    302
1E0657_56              5356+3184+5361   1.80   1.90  6.53  0.00  0.00 14.28 12.24 16.97  0.20  0.00  0.40   1.13e-03   4.10e-04   4.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.060   87.5   0.94    292
1E0657_56              5356+3184+5361   1.90   2.02  6.53  0.00  0.00 10.93  9.67 12.54  0.20  0.05  0.35   1.16e-03   4.05e-04   4.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.064   85.5   1.05    305
1E0657_56              5356+3184+5361   2.02   2.15  6.53  0.00  0.00 12.98 11.38 15.22  0.54  0.33  0.75   1.08e-03   3.68e-04   4.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.061   82.7   1.02    310
1E0657_56              5356+3184+5361   2.15   2.30  6.53  0.00  0.00 11.46 10.10 13.28  0.29  0.10  0.46   1.09e-03   3.84e-04   4.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.060   79.6   1.01    305
1E0657_56              5356+3184+5361   2.30   2.47  6.53  0.00  0.00 12.41 10.72 14.66  0.16  0.00  0.34   1.15e-03   3.92e-04   4.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.062   76.4   0.97    321
1E0657_56              5356+3184+5361   2.47   2.67  6.53  0.00  0.00 13.03 11.19 15.42  0.21  0.00  0.41   1.10e-03   3.75e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.059   72.0   1.01    323
1E0657_56              5356+3184+5361   2.67   2.89  6.53  0.00  0.00  9.82  8.69 11.23  0.55  0.36  0.75   1.01e-03   3.49e-04   3.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.059   66.4   0.93    327
1E0657_56              5356+3184+5361   2.89   3.17  6.53  0.00  0.00  9.74  8.55 11.33  0.46  0.27  0.66   9.78e-04   3.28e-04   3.59e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.056   61.0   1.15    331
1E0657_56              5356+3184+5361   3.17   3.49  6.53  0.00  0.00  9.12  7.96 10.65  0.42  0.22  0.62   9.78e-04   3.41e-04   3.76e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.055   53.9   0.94    362
1E0657_56              5356+3184+5361   3.49   3.87  6.53  0.00  0.00  9.90  8.44 11.94  0.16  0.00  0.37   9.47e-04   3.06e-04   3.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.051   46.4   1.16    364
1E0657_56              5356+3184+5361   3.87   4.32  6.53  0.00  0.00  8.86  7.47 10.78  0.23  0.00  0.47   8.51e-04   2.81e-04   3.20e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.046   36.9   1.03    394
1E0657_56              5356+3184+5361   4.32   5.01  6.53  0.00  0.00 10.76  8.47 14.20  0.35  0.00  0.77   8.15e-04   2.56e-04   3.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.044   25.8   1.05    520
2A_0335+096                  919   0.00   0.30 18.11  0.00  0.00  1.70  1.66  1.74  0.57  0.52  0.63   6.91e-03   6.62e-03   7.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.855   99.1   1.71    166
