#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
2PIGG_J0011.5-2850                  5797  0.0753    2.81E-04    2.81E-05    4.95E-06      55.181       1.855       0.437       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    498.83  160    0.00E+00
3C_295                              2254  0.4641    4.30E-04    4.06E-04    2.18E-05      29.138       1.205       0.589       0.006    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    135.31   66    3.36E-07
ABELL_1068                          1652  0.1375    2.38E-03    1.65E-03    1.24E-04      17.329       1.057       0.521       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    816.20   72    0.00E+00
ABELL_1991                          3193  0.0565    1.20E-03    9.57E-04    5.69E-05       8.005       0.421       0.469       0.003    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    518.35   71    0.00E+00
ESO_3060170                    3188_3189  0.0358    3.55E-04    3.55E-05    8.67E-06      28.259       1.045       0.474       0.007    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    874.65  147    0.00E+00
HCG_42                              3215  0.0133    3.78E-04    6.92E-05    7.06E-06       6.180       0.657       0.651       0.028    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    511.50   74    0.00E+00
HERCULES_A                5796_6257_1625  0.1541    1.94E-04    7.69E-05    4.40E-06     111.170       8.144       0.709       0.029    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000   1743.83   70    0.00E+00
MACS_J0011.7-1523              6105_3261  0.3600    2.69E-04    1.19E-04    1.00E-05      65.246       4.769       0.583       0.011    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    451.28   77    0.00E+00
MACS_J0159.8-0849              6106_3265  0.4050    7.02E-04    4.74E-04    4.67E-05      35.164       2.722       0.536       0.007    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    649.33   71    0.00E+00
MACS_J0242.5-2132                   3266  0.3140    1.71E-03    1.73E-03    9.63E-05      22.883       0.942       0.584       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    127.72   85    9.24E-04
MACS_J0329.6-0211         6108_3582_3257  0.4500    5.40E-04    5.89E-04    3.73E-05      25.711       1.252       0.533       0.004    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    246.52   67    0.00E+00
MACS_J0417.5-1154                   3270  0.4400    5.21E-04    5.73E-04    1.14E-04      26.372       1.318       0.464       0.006    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    271.17   68    0.00E+00
MACS_J0429.6-0253                   3271  0.3990    7.08E-04    6.23E-04    4.72E-05      27.741       1.602       0.559       0.006    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    145.84   71    1.32E-07
MACS_J0744.8+3927         3585_3197_6111  0.6860    1.83E-04    1.42E-04    1.20E-05      51.157       3.674       0.538       0.008    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    211.71   54    0.00E+00
MACS_J1621.3+3810    6109_6172_3254_3594  0.4610    3.99E-04    2.88E-04    3.00E-05      27.255       2.230       0.518       0.007    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    355.49   66    0.00E+00
MACS_J1931.8-2634                   3282  0.3520    8.33E-04    9.17E-04    1.32E-04      34.266       0.818       0.577       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    162.43   78    2.13E-08
MACS_J2229.7-2755                   3286  0.3240    8.29E-04    9.12E-04    9.58E-05      27.569       0.537       0.588       0.004    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000     90.47   82    1.78E-01
MS_0440.5+0204                      4196  0.1900    4.93E-04    2.16E-04    2.79E-05      26.536       2.947       0.523       0.011    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    204.27   71    1.44E-15
MS_2137.3-2353                      4974  0.3130    1.84E-03    1.59E-03    6.94E-05      26.534       0.910       0.586       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    110.92   65    1.35E-04
MS_J1157.3+5531                     4964  0.0810    8.49E-04    9.34E-04    2.22E-04       2.599       0.120       0.457       0.004    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    458.78   81    0.00E+00
NGC_0507                            2882  0.0164    4.86E-04    4.86E-05    1.52E-05       8.241       0.308       0.425       0.005    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000   1614.86  165    0.00E+00
RBS_0797                            2202  0.3540    1.26E-03    1.23E-03    5.81E-05      39.921       1.437       0.642       0.007    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    118.67   78    9.87E-04
RX_J0439+0520                        527  0.2080    7.08E-04    6.16E-04    5.22E-05      22.386       1.432       0.561       0.007    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    178.70  105    4.08E-06
RX_J1347.5-1145                 3592_507  0.4510    2.38E-03    1.54E-03    1.08E-04      38.483       2.101       0.575       0.006    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000   1293.85   67    0.00E+00
RX_J2129.6+0005                      552  0.2350    7.86E-04    3.62E-04    2.92E-05      43.110       2.819       0.557       0.008    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    270.84  105    0.00E+00
SS2B153                             3243  0.0186    1.83E-03    1.52E-03    1.26E-04       1.541       0.108       0.439       0.003    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    348.46   80    0.00E+00
ZWCL_1358+6245                       516  0.3280    5.53E-04    2.07E-04    2.37E-05      44.853       4.439       0.519       0.010    0.00E+00    0.00E+00       0.000       0.000       0.000       0.000    567.22   82    0.00E+00
