           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    1.24000E-03    1.70051E-01    3.86788E-04    9.94503E-01    9.99999E-03    1.64101E-23    1.04040E-01    1.07258E-03    6.24239E-02    6.43547E-04
    1.24000E-03    2.48000E-03    7.99858E-02    4.18262E-04    1.01442E+00    9.99999E-03    1.60964E-23    2.30016E-01    2.56673E-03    1.38009E-01    1.54004E-03
    2.48000E-03    3.71000E-03    5.43451E-02    4.47110E-04    1.03425E+00    9.99999E-03    1.57841E-23    3.51990E-01    4.46866E-03    2.11194E-01    2.68120E-03
    3.71000E-03    4.95000E-03    4.11156E-02    3.50486E-04    1.06324E+00    1.12035E-02    1.56314E-23    4.82957E-01    6.54575E-03    2.89774E-01    3.92745E-03
    4.95000E-03    6.19000E-03    2.87242E-02    3.95589E-04    1.12778E+00    1.70711E-02    1.60967E-23    7.12070E-01    1.45721E-02    4.27242E-01    8.74326E-03
    6.19000E-03    7.43000E-03    2.31869E-02    3.30548E-04    1.17745E+00    2.00000E-02    1.60946E-23    9.21094E-01    2.04256E-02    5.52657E-01    1.22553E-02
    7.43000E-03    8.67000E-03    2.09231E-02    3.18259E-04    1.21230E+00    2.00000E-02    1.56266E-23    1.08244E+00    2.42896E-02    6.49464E-01    1.45737E-02
    8.67000E-03    9.91000E-03    1.68455E-02    3.48485E-04    1.24715E+00    2.00000E-02    1.53495E-23    1.40807E+00    3.68561E-02    8.44842E-01    2.21137E-02
    9.91000E-03    1.11400E-02    1.60251E-02    3.09383E-04    1.28186E+00    2.00001E-02    1.52697E-23    1.52930E+00    3.79612E-02    9.17582E-01    2.27767E-02
    1.11400E-02    1.23800E-02    1.34502E-02    3.59731E-04    1.31953E+00    2.24416E-02    1.52876E-23    1.87342E+00    5.93778E-02    1.12405E+00    3.56267E-02
    1.23800E-02    1.36200E-02    1.23063E-02    3.45047E-04    1.36061E+00    2.75756E-02    1.54128E-23    2.09414E+00    7.24493E-02    1.25648E+00    4.34696E-02
    1.36200E-02    1.48600E-02    1.10278E-02    3.00498E-04    1.39406E+00    3.00000E-02    1.55121E-23    2.37907E+00    8.26060E-02    1.42744E+00    4.95636E-02
    1.48600E-02    1.61000E-02    9.15166E-03    3.29553E-04    1.42070E+00    3.00001E-02    1.55880E-23    2.90734E+00    1.21367E-01    1.74441E+00    7.28200E-02
    1.61000E-02    1.73300E-02    8.95495E-03    3.15604E-04    1.44435E+00    3.00001E-02    1.56413E-23    3.01039E+00    1.23151E-01    1.80623E+00    7.38907E-02
    1.73300E-02    1.85700E-02    8.20152E-03    3.23567E-04    1.46032E+00    3.00000E-02    1.56349E-23    3.32462E+00    1.47880E-01    1.99477E+00    8.87282E-02
    1.85700E-02    1.98100E-02    7.53780E-03    2.85244E-04    1.47635E+00    3.00000E-02    1.56285E-23    3.65857E+00    1.57145E-01    2.19514E+00    9.42869E-02
    1.98100E-02    2.10500E-02    6.76121E-03    2.96385E-04    1.47314E+00    3.34283E-02    1.53510E-23    4.14350E+00    2.04528E-01    2.48610E+00    1.22717E-01
    2.10500E-02    2.22900E-02    6.04113E-03    3.23467E-04    1.46426E+00    3.78687E-02    1.49936E-23    4.71932E+00    2.80623E-01    2.83159E+00    1.68374E-01
    2.22900E-02    2.35200E-02    6.60612E-03    2.97988E-04    1.46000E+00    4.00000E-02    1.48506E-23    4.34455E+00    2.29289E-01    2.60673E+00    1.37573E-01
    2.35200E-02    2.47600E-02    5.70563E-03    3.15849E-04    1.46000E+00    4.00000E-02    1.49059E-23    5.01157E+00    3.09545E-01    3.00694E+00    1.85727E-01
    2.47600E-02    2.60000E-02    5.96702E-03    3.11065E-04    1.45896E+00    4.00001E-02    1.49104E-23    4.78716E+00    2.81967E-01    2.87230E+00    1.69180E-01
    2.60000E-02    2.72400E-02    5.72264E-03    3.24298E-04    1.45495E+00    4.00000E-02    1.47698E-23    5.02529E+00    3.16523E-01    3.01517E+00    1.89914E-01
    2.72400E-02    2.84800E-02    5.17714E-03    3.53579E-04    1.45094E+00    4.00000E-02    1.46291E-23    5.59275E+00    4.11908E-01    3.35565E+00    2.47145E-01
    2.84800E-02    2.97200E-02    6.06986E-03    3.45688E-04    1.47144E+00    4.00000E-02    1.45929E-23    4.84958E+00    3.06041E-01    2.90975E+00    1.83625E-01
    2.97200E-02    3.09500E-02    4.81382E-03    3.30970E-04    1.49938E+00    4.00000E-02    1.45889E-23    6.23276E+00    4.59656E-01    3.73965E+00    2.75794E-01
    3.09500E-02    3.21900E-02    5.32433E-03    3.40380E-04    1.52313E+00    4.00000E-02    1.46167E-23    5.71356E+00    3.94882E-01    3.42814E+00    2.36929E-01
    3.21900E-02    3.34300E-02    5.20571E-03    2.72671E-04    1.53516E+00    4.00000E-02    1.47345E-23    5.84278E+00    3.41815E-01    3.50567E+00    2.05089E-01
    3.34300E-02    3.46700E-02    4.60994E-03    2.81416E-04    1.54718E+00    4.00001E-02    1.48523E-23    6.59680E+00    4.37332E-01    3.95808E+00    2.62399E-01
    3.46700E-02    3.59100E-02    4.77607E-03    2.57678E-04    1.53883E+00    4.27935E-02    1.46062E-23    6.43968E+00    3.90871E-01    3.86381E+00    2.34522E-01
    3.59100E-02    3.71400E-02    3.93522E-03    4.78671E-04    1.52428E+00    4.64297E-02    1.42499E-23    7.93539E+00    9.95046E-01    4.76123E+00    5.97028E-01
    3.71400E-02    3.83800E-02    3.83751E-03    2.40971E-04    1.51012E+00    5.00000E-02    1.38985E-23    8.26566E+00    5.86763E-01    4.95939E+00    3.52058E-01
    3.83800E-02    3.96200E-02    4.05899E-03    2.65520E-04    1.51683E+00    5.00000E-02    1.38164E-23    7.89601E+00    5.78393E-01    4.73760E+00    3.47036E-01
    3.96200E-02    4.08600E-02    3.60111E-03    3.74676E-04    1.52353E+00    5.00000E-02    1.37342E-23    8.99280E+00    9.81094E-01    5.39568E+00    5.88657E-01
    4.08600E-02    4.21000E-02    3.56525E-03    2.58074E-04    1.53022E+00    5.00001E-02    1.36598E-23    9.17283E+00    7.28498E-01    5.50370E+00    4.37099E-01
    4.21000E-02    4.33300E-02    3.32038E-03    2.32826E-04    1.53628E+00    5.00001E-02    1.37931E-23    9.79272E+00    7.57030E-01    5.87563E+00    4.54218E-01
