           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.09000E-02    4.76800E-03    2.94622E-04    8.81186E+00    1.82539E+00    2.47101E-23    2.18344E+01    4.71997E+00    1.31006E+01    2.83198E+00
    2.09000E-02    4.17900E-02    4.68514E-03    3.58643E-04    8.67310E+00    1.79778E+00    2.45576E-23    2.20064E+01    4.86266E+00    1.32039E+01    2.91760E+00
    4.17900E-02    6.26900E-02    4.53695E-03    4.10541E-04    8.53434E+00    1.77017E+00    2.44051E-23    2.25014E+01    5.09198E+00    1.35008E+01    3.05519E+00
    6.26900E-02    8.35900E-02    4.33386E-03    4.25775E-04    8.39555E+00    1.74255E+00    2.42525E-23    2.33185E+01    5.35470E+00    1.39911E+01    3.21282E+00
    8.35900E-02    1.04490E-01    4.09099E-03    4.44158E-04    8.25675E+00    1.71493E+00    2.41000E-23    2.44482E+01    5.72979E+00    1.46689E+01    3.43787E+00
    1.04490E-01    1.25380E-01    3.82394E-03    4.67279E-04    8.11799E+00    1.68731E+00    2.39475E-23    2.58798E+01    6.23984E+00    1.55279E+01    3.74391E+00
    1.25380E-01    1.46280E-01    3.54669E-03    4.59863E-04    7.97923E+00    1.65970E+00    2.37950E-23    2.76017E+01    6.76532E+00    1.65610E+01    4.05919E+00
    1.46280E-01    1.67180E-01    3.27046E-03    4.58530E-04    7.84044E+00    1.63208E+00    2.36425E-23    2.96021E+01    7.42937E+00    1.77612E+01    4.45762E+00
    1.67180E-01    1.88070E-01    3.00342E-03    4.43926E-04    7.70168E+00    1.60446E+00    2.34900E-23    3.18691E+01    8.14048E+00    1.91215E+01    4.88429E+00
    1.88070E-01    2.08970E-01    2.75097E-03    4.53983E-04    7.56292E+00    1.57685E+00    2.33375E-23    3.43901E+01    9.14446E+00    2.06340E+01    5.48668E+00
    2.08970E-01    2.29870E-01    2.51617E-03    4.37101E-04    7.42413E+00    1.54923E+00    2.31849E-23    3.71521E+01    1.00875E+01    2.22912E+01    6.05250E+00
    2.29870E-01    2.50760E-01    2.30037E-03    4.13295E-04    7.28537E+00    1.52162E+00    2.30324E-23    4.01418E+01    1.10592E+01    2.40851E+01    6.63550E+00
    2.50760E-01    2.71660E-01    2.10371E-03    4.15376E-04    7.14661E+00    1.49400E+00    2.28799E-23    4.33453E+01    1.24642E+01    2.60072E+01    7.47852E+00
    2.71660E-01    2.92560E-01    1.92555E-03    4.33071E-04    7.00781E+00    1.46638E+00    2.27274E-23    4.67478E+01    1.43607E+01    2.80487E+01    8.61642E+00
    2.92560E-01    3.13460E-01    1.76478E-03    4.22926E-04    6.86902E+00    1.43876E+00    2.25749E-23    5.03341E+01    1.60204E+01    3.02005E+01    9.61225E+00
    3.13460E-01    3.34350E-01    1.62004E-03    4.14280E-04    6.73026E+00    1.41115E+00    2.24224E-23    5.40889E+01    1.78867E+01    3.24533E+01    1.07320E+01
    3.34350E-01    3.55250E-01    1.48991E-03    4.18938E-04    6.59150E+00    1.38353E+00    2.22699E-23    5.79949E+01    2.03496E+01    3.47969E+01    1.22097E+01
    3.55250E-01    3.76150E-01    1.37297E-03    3.97895E-04    6.45271E+00    1.35591E+00    2.21173E-23    6.20342E+01    2.22064E+01    3.72205E+01    1.33238E+01
    3.76150E-01    3.97040E-01    1.26786E-03    3.72672E-04    6.31395E+00    1.32830E+00    2.19649E-23    6.61889E+01    2.39250E+01    3.97133E+01    1.43550E+01
    3.97040E-01    4.17940E-01    1.17334E-03    3.58214E-04    6.17519E+00    1.30068E+00    2.18124E-23    7.04380E+01    2.61258E+01    4.22628E+01    1.56755E+01
    4.17940E-01    4.38840E-01    1.08826E-03    3.58994E-04    6.03640E+00    1.27306E+00    2.16598E-23    7.47607E+01    2.92713E+01    4.48565E+01    1.75628E+01
    4.38840E-01    4.59740E-01    1.01159E-03    3.47325E-04    5.89760E+00    1.24544E+00    2.15073E-23    7.91350E+01    3.18986E+01    4.74810E+01    1.91392E+01
    4.59740E-01    4.80630E-01    9.42441E-04    3.03965E-04    5.80013E+00    1.25294E+00    2.13536E-23    8.41389E+01    3.26617E+01    5.04833E+01    1.95970E+01
    4.80630E-01    5.01530E-01    8.79992E-04    3.23559E-04    5.75505E+00    1.30500E+00    2.11983E-23    9.00644E+01    3.89064E+01    5.40386E+01    2.33438E+01
    5.01530E-01    5.22430E-01    8.23545E-04    3.23435E-04    5.70995E+00    1.35706E+00    2.10430E-23    9.61882E+01    4.41551E+01    5.77129E+01    2.64931E+01
    5.22430E-01    5.43320E-01    7.72484E-04    2.96230E-04    5.66487E+00    1.40912E+00    2.08877E-23    1.02493E+02    4.68483E+01    6.14957E+01    2.81090E+01
    5.43320E-01    5.64220E-01    7.26276E-04    2.62648E-04    5.61979E+00    1.46117E+00    2.07324E-23    1.08956E+02    4.85294E+01    6.53737E+01    2.91176E+01
    5.64220E-01    5.85120E-01    6.84462E-04    2.70272E-04    5.57470E+00    1.51324E+00    2.05771E-23    1.15550E+02    5.53683E+01    6.93302E+01    3.32210E+01
    5.85120E-01    6.06010E-01    6.46658E-04    2.72685E-04    5.52961E+00    1.56529E+00    2.04218E-23    1.22239E+02    6.20834E+01    7.33433E+01    3.72500E+01
    6.06010E-01    6.26910E-01    6.13921E-04    2.69662E-04    5.48453E+00    1.61735E+00    2.02665E-23    1.28686E+02    6.80818E+01    7.72115E+01    4.08491E+01
    6.26910E-01    6.47810E-01    5.84712E-04    2.32209E-04    5.43944E+00    1.66941E+00    2.01112E-23    1.35038E+02    6.77764E+01    8.10230E+01    4.06659E+01
    6.47810E-01    6.68710E-01    5.58583E-04    2.73269E-04    5.39434E+00    1.72148E+00    1.99559E-23    1.41274E+02    8.25187E+01    8.47646E+01    4.95112E+01
    6.68710E-01    6.89600E-01    5.35559E-04    9.97053E-05    5.34926E+00    1.77353E+00    1.98006E-23    1.47262E+02    5.59951E+01    8.83573E+01    3.35971E+01
