           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    1.03600E-02    1.72377E-03    2.10628E-04    6.24000E+00    8.30000E-01    2.19473E-23    4.81512E+01    8.69698E+00    2.88907E+01    5.21819E+00
    1.03600E-02    2.07200E-02    1.51023E-03    2.22501E-04    6.24000E+00    8.30000E-01    2.20193E-23    5.47800E+01    1.08733E+01    3.28680E+01    6.52398E+00
    2.07200E-02    3.10900E-02    1.78600E-03    2.26575E-04    6.24000E+00    8.30000E-01    2.20912E-23    4.61708E+01    8.48667E+00    2.77025E+01    5.09200E+00
    3.10900E-02    4.14500E-02    1.43671E-03    2.16439E-04    6.24000E+00    8.30000E-01    2.21632E-23    5.72093E+01    1.14972E+01    3.43256E+01    6.89830E+00
    4.14500E-02    5.18100E-02    1.33328E-03    2.02226E-04    6.24000E+00    8.30000E-01    2.22351E-23    6.14480E+01    1.23963E+01    3.68688E+01    7.43781E+00
    5.18100E-02    6.21700E-02    1.24855E-03    1.97692E-04    6.24000E+00    8.30000E-01    2.23070E-23    6.54064E+01    1.35256E+01    3.92439E+01    8.11534E+00
    6.21700E-02    7.25300E-02    1.66376E-03    2.03124E-04    6.24678E+00    8.30242E-01    2.23789E-23    4.89789E+01    8.83926E+00    2.93874E+01    5.30356E+00
    7.25300E-02    8.29000E-02    1.62191E-03    1.84382E-04    6.27556E+00    8.31270E-01    2.24509E-23    5.03124E+01    8.78232E+00    3.01875E+01    5.26939E+00
    8.29000E-02    9.32600E-02    1.46522E-03    1.84726E-04    6.30434E+00    8.32298E-01    2.25229E-23    5.57695E+01    1.01806E+01    3.34617E+01    6.10838E+00
    9.32600E-02    1.03620E-01    1.15457E-03    1.59818E-04    6.33311E+00    8.33326E-01    2.25948E-23    7.08716E+01    1.35353E+01    4.25230E+01    8.12117E+00
    1.03620E-01    1.13980E-01    1.33476E-03    1.96494E-04    6.36188E+00    8.34353E-01    2.26667E-23    6.13872E+01    1.21030E+01    3.68323E+01    7.26182E+00
    1.13980E-01    1.24340E-01    9.77345E-04    1.65640E-04    6.39065E+00    8.35381E-01    2.27386E-23    8.39492E+01    1.79680E+01    5.03695E+01    1.07808E+01
    1.24340E-01    1.34710E-01    1.24003E-03    1.81508E-04    6.41943E+00    8.36409E-01    2.28106E-23    6.62539E+01    1.29833E+01    3.97524E+01    7.79000E+00
    1.34710E-01    1.45070E-01    1.08936E-03    1.92174E-04    6.44822E+00    8.37437E-01    2.28825E-23    7.55175E+01    1.65428E+01    4.53105E+01    9.92568E+00
    1.45070E-01    1.55430E-01    1.41010E-03    1.64899E-04    6.47699E+00    8.38464E-01    2.29545E-23    5.84170E+01    1.01909E+01    3.50502E+01    6.11456E+00
    1.55430E-01    1.65790E-01    1.28660E-03    1.83389E-04    6.50576E+00    8.39491E-01    2.30264E-23    6.41079E+01    1.23261E+01    3.84648E+01    7.39563E+00
    1.65790E-01    1.76150E-01    1.16523E-03    1.56622E-04    6.50629E+00    8.43046E-01    2.28936E-23    7.12020E+01    1.32933E+01    4.27212E+01    7.97597E+00
    1.76150E-01    1.86520E-01    1.04857E-03    1.50663E-04    6.47913E+00    8.49082E-01    2.25598E-23    7.99591E+01    1.55497E+01    4.79755E+01    9.32983E+00
    1.86520E-01    1.96880E-01    1.04284E-03    1.38068E-04    6.45197E+00    8.55117E-01    2.22260E-23    8.12637E+01    1.52236E+01    4.87582E+01    9.13413E+00
    1.96880E-01    2.07240E-01    1.05664E-03    1.64639E-04    6.42482E+00    8.61150E-01    2.18924E-23    8.10820E+01    1.66649E+01    4.86492E+01    9.99895E+00
    2.07240E-01    2.17600E-01    1.14298E-03    1.67329E-04    6.39768E+00    8.67183E-01    2.15588E-23    7.57954E+01    1.51221E+01    4.54772E+01    9.07325E+00
    2.17600E-01    2.27970E-01    9.88486E-04    1.62774E-04    6.37052E+00    8.73218E-01    2.12250E-23    8.86421E+01    1.89919E+01    5.31852E+01    1.13952E+01
    2.27970E-01    2.38330E-01    1.06404E-03    1.42725E-04    6.34335E+00    8.79254E-01    2.08912E-23    8.33068E+01    1.60687E+01    4.99841E+01    9.64123E+00
    2.38330E-01    2.48690E-01    9.19198E-04    1.66634E-04    6.38726E+00    9.05919E-01    2.09111E-23    9.70089E+01    2.23288E+01    5.82053E+01    1.33973E+01
    2.48690E-01    2.59050E-01    9.78844E-04    1.53696E-04    6.44119E+00    9.35493E-01    2.09809E-23    9.15614E+01    1.95839E+01    5.49368E+01    1.17503E+01
    2.59050E-01    2.69410E-01    8.72743E-04    1.41161E-04    6.49512E+00    9.65067E-01    2.10507E-23    1.03209E+02    2.26680E+01    6.19256E+01    1.36008E+01
    2.69410E-01    2.79780E-01    9.88772E-04    1.42280E-04    6.54908E+00    9.94655E-01    2.11205E-23    9.15512E+01    1.91543E+01    5.49307E+01    1.14926E+01
    2.79780E-01    2.90140E-01    9.74925E-04    1.98219E-04    6.60303E+00    1.02424E+00    2.11902E-23    9.33082E+01    2.38619E+01    5.59849E+01    1.43172E+01
    2.90140E-01    3.00500E-01    9.34804E-04    1.49389E-04    6.65696E+00    1.05382E+00    2.12600E-23    9.77857E+01    2.19960E+01    5.86714E+01    1.31976E+01
    3.00500E-01    3.10860E-01    8.49345E-04    1.57198E-04    6.71089E+00    1.08339E+00    2.13298E-23    1.08142E+02    2.65591E+01    6.48850E+01    1.59355E+01
