           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    1.10000E-03    1.77101E-01    2.95382E-03    9.60000E-01    1.00001E-02    1.03808E-23    1.52441E-01    2.99765E-03    9.14644E-02    1.79859E-03
    1.10000E-03    2.20000E-03    1.27903E-01    1.03285E-03    1.04848E+00    1.00000E-02    1.23721E-23    1.93428E-01    2.41729E-03    1.16057E-01    1.45037E-03
    2.20000E-03    3.30000E-03    9.50888E-02    5.63618E-04    1.23893E+00    9.99999E-03    1.43633E-23    2.64818E-01    2.65190E-03    1.58891E-01    1.59114E-03
    3.30000E-03    4.40000E-03    6.15743E-02    4.77637E-04    1.40365E+00    9.99999E-03    1.65443E-23    4.02249E-01    4.23658E-03    2.41349E-01    2.54195E-03
    4.40000E-03    5.50000E-03    4.88551E-02    4.03722E-04    1.51000E+00    9.99999E-03    1.85971E-23    4.85183E-01    5.13804E-03    2.91110E-01    3.08282E-03
    5.50000E-03    6.59000E-03    4.25032E-02    3.25628E-04    1.55551E+00    1.32507E-02    1.94861E-23    5.48288E-01    6.28170E-03    3.28973E-01    3.76902E-03
    6.59000E-03    7.69000E-03    3.67142E-02    2.70078E-04    1.72570E+00    2.00000E-02    2.14630E-23    6.39327E-01    8.77605E-03    3.83596E-01    5.26563E-03
    7.69000E-03    8.79000E-03    2.98987E-02    2.51642E-04    1.89844E+00    2.00001E-02    2.27594E-23    8.14457E-01    1.09823E-02    4.88674E-01    6.58938E-03
    8.79000E-03    9.89000E-03    2.62609E-02    2.33596E-04    2.01604E+00    2.00000E-02    2.37888E-23    9.42109E-01    1.25530E-02    5.65265E-01    7.53181E-03
    9.89000E-03    1.09900E-02    2.41668E-02    2.19800E-04    2.11770E+00    3.00002E-02    2.40335E-23    1.06441E+00    1.79191E-02    6.38648E-01    1.07515E-02
    1.09900E-02    1.20900E-02    2.17428E-02    2.01104E-04    2.28140E+00    3.00000E-02    2.44744E-23    1.25158E+00    2.01214E-02    7.50946E-01    1.20729E-02
    1.20900E-02    1.31900E-02    1.86379E-02    1.95522E-04    2.47046E+00    3.00000E-02    2.48763E-23    1.55553E+00    2.49620E-02    9.33317E-01    1.49772E-02
    1.31900E-02    1.42900E-02    1.70312E-02    2.00720E-04    2.52146E+00    3.35761E-02    2.51654E-23    1.71745E+00    3.05406E-02    1.03047E+00    1.83243E-02
    1.42900E-02    1.53900E-02    1.60667E-02    1.94766E-04    2.60276E+00    4.00000E-02    2.48842E-23    1.90049E+00    3.72000E-02    1.14030E+00    2.23200E-02
    1.53900E-02    1.64900E-02    1.44993E-02    1.82493E-04    2.72534E+00    4.00000E-02    2.43235E-23    2.25595E+00    4.36182E-02    1.35357E+00    2.61710E-02
    1.64900E-02    1.75800E-02    1.37653E-02    1.81720E-04    2.82029E+00    4.00000E-02    2.46517E-23    2.42630E+00    4.70120E-02    1.45578E+00    2.82072E-02
    1.75800E-02    1.86800E-02    1.26247E-02    1.85360E-04    2.87332E+00    4.03019E-02    2.42061E-23    2.74487E+00    5.57354E-02    1.64692E+00    3.34413E-02
    1.86800E-02    1.97800E-02    1.17075E-02    1.88319E-04    2.96362E+00    4.85108E-02    2.40731E-23    3.06979E+00    7.04499E-02    1.84188E+00    4.22699E-02
