           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    5.32000E-03    5.73319E-03    2.23136E-03    5.40000E+00    1.70000E-01    2.03406E-23    1.35182E+01    5.27846E+00    8.11091E+00    3.16708E+00
    5.32000E-03    1.06400E-02    5.06682E-03    1.11154E-03    5.40000E+00    1.70000E-01    2.03771E-23    1.52686E+01    3.38389E+00    9.16117E+00    2.03033E+00
    1.06400E-02    1.59600E-02    4.77294E-03    8.30241E-04    5.40000E+00    1.70000E-01    2.04136E-23    1.61797E+01    2.86014E+00    9.70784E+00    1.71609E+00
    1.59600E-02    2.12800E-02    4.19240E-03    7.20306E-04    5.40000E+00    1.70000E-01    2.04501E-23    1.83873E+01    3.21176E+00    1.10324E+01    1.92706E+00
    2.12800E-02    2.66000E-02    3.92646E-03    5.91640E-04    5.40677E+00    1.70797E-01    2.04867E-23    1.96222E+01    3.02096E+00    1.17733E+01    1.81258E+00
    2.66000E-02    3.19200E-02    3.79509E-03    5.09923E-04    5.43526E+00    1.74148E-01    2.05232E-23    2.03721E+01    2.81403E+00    1.22233E+01    1.68842E+00
    3.19200E-02    3.72300E-02    4.14626E-03    3.91884E-04    5.46372E+00    1.77497E-01    2.05597E-23    1.87111E+01    1.87003E+00    1.12266E+01    1.12202E+00
    3.72300E-02    4.25500E-02    4.33555E-03    3.24249E-04    5.49218E+00    1.80845E-01    2.05962E-23    1.79555E+01    1.46725E+00    1.07733E+01    8.80353E-01
    4.25500E-02    4.78700E-02    4.25578E-03    2.85676E-04    5.52067E+00    1.84197E-01    2.06327E-23    1.83544E+01    1.37587E+00    1.10126E+01    8.25520E-01
    4.78700E-02    5.31900E-02    4.05052E-03    2.59805E-04    5.54916E+00    1.87548E-01    2.06693E-23    1.93497E+01    1.40287E+00    1.16098E+01    8.41722E-01
    5.31900E-02    5.85100E-02    3.76333E-03    2.50025E-04    5.58581E+00    1.90000E-01    2.07671E-23    2.08651E+01    1.55734E+00    1.25191E+01    9.34404E-01
    5.85100E-02    6.38300E-02    3.81314E-03    2.25707E-04    5.64468E+00    1.90000E-01    2.10321E-23    2.05475E+01    1.39914E+00    1.23285E+01    8.39485E-01
    6.38300E-02    6.91500E-02    3.53968E-03    2.14075E-04    5.70356E+00    1.90000E-01    2.12970E-23    2.20875E+01    1.52506E+00    1.32525E+01    9.15036E-01
    6.91500E-02    7.44700E-02    3.53888E-03    1.98652E-04    5.76258E+00    1.90136E-01    2.15498E-23    2.20593E+01    1.43635E+00    1.32356E+01    8.61810E-01
    7.44700E-02    7.97900E-02    3.48530E-03    1.85198E-04    5.82499E+00    1.93420E-01    2.15195E-23    2.26728E+01    1.42065E+00    1.36037E+01    8.52390E-01
    7.97900E-02    8.51100E-02    3.52417E-03    1.69367E-04    5.88739E+00    1.96705E-01    2.14893E-23    2.26948E+01    1.32837E+00    1.36169E+01    7.97019E-01
    8.51100E-02    9.04300E-02    3.40002E-03    1.62551E-04    5.94980E+00    1.99990E-01    2.14591E-23    2.38064E+01    1.39130E+00    1.42838E+01    8.34780E-01
    9.04300E-02    9.57500E-02    3.13417E-03    1.60042E-04    5.92454E+00    2.03638E-01    2.14594E-23    2.57157E+01    1.58291E+00    1.54294E+01    9.49746E-01
    9.57500E-02    1.01070E-01    3.07811E-03    1.50392E-04    5.89899E+00    2.07287E-01    2.14597E-23    2.60707E+01    1.56900E+00    1.56424E+01    9.41401E-01
    1.01070E-01    1.06380E-01    2.99330E-03    1.46629E-04    5.88205E+00    2.11025E-01    2.14239E-23    2.67770E+01    1.62585E+00    1.60662E+01    9.75511E-01
    1.06380E-01    1.11700E-01    3.02835E-03    1.36893E-04    5.89005E+00    2.15026E-01    2.12831E-23    2.66786E+01    1.55014E+00    1.60071E+01    9.30085E-01
    1.11700E-01    1.17020E-01    2.86379E-03    1.36916E-04    5.89806E+00    2.19032E-01    2.11421E-23    2.84383E+01    1.72160E+00    1.70630E+01    1.03296E+00
    1.17020E-01    1.22340E-01    2.89376E-03    1.26625E-04    5.83317E+00    2.13925E-01    2.09862E-23    2.80409E+01    1.60097E+00    1.68246E+01    9.60581E-01
    1.22340E-01    1.27660E-01    2.75310E-03    1.25305E-04    5.74505E+00    2.05914E-01    2.08256E-23    2.92522E+01    1.69466E+00    1.75513E+01    1.01679E+00
    1.27660E-01    1.32980E-01    2.72141E-03    1.20677E-04    5.69783E+00    2.02098E-01    2.07523E-23    2.94532E+01    1.67247E+00    1.76719E+01    1.00348E+00
    1.32980E-01    1.38300E-01    2.54281E-03    1.19052E-04    5.76592E+00    2.10109E-01    2.09253E-23    3.16348E+01    1.87685E+00    1.89809E+01    1.12611E+00
    1.38300E-01    1.43620E-01    2.47612E-03    1.15930E-04    5.83402E+00    2.18120E-01    2.10984E-23    3.26010E+01    1.95330E+00    1.95606E+01    1.17198E+00
    1.43620E-01    1.48940E-01    2.43561E-03    1.12921E-04    5.75804E+00    2.13869E-01    2.08754E-23    3.30610E+01    1.96402E+00    1.98366E+01    1.17841E+00
    1.48940E-01    1.54260E-01    2.39883E-03    1.10625E-04    5.63787E+00    2.05858E-01    2.05309E-23    3.34188E+01    1.96574E+00    2.00513E+01    1.17944E+00
    1.54260E-01    1.59580E-01    2.39617E-03    1.04764E-04    5.54031E+00    1.98923E-01    2.02930E-23    3.32624E+01    1.88182E+00    1.99574E+01    1.12909E+00
    1.59580E-01    1.64900E-01    2.29352E-03    1.02374E-04    5.50426E+00    1.94918E-01    2.03451E-23    3.44366E+01    1.96211E+00    2.06620E+01    1.17726E+00
