           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    1.26600E-02    5.09622E-02    2.24949E-04    2.04214E+00    8.27683E-02    1.65910E-23    7.05097E-01    2.87467E-02    4.23058E-01    1.72480E-02
    1.26600E-02    2.53100E-02    2.05532E-02    1.92265E-04    2.55811E+00    1.12618E-01    1.75888E-23    2.06579E+00    9.29747E-02    1.23948E+00    5.57848E-02
    2.53100E-02    3.79700E-02    1.33866E-02    1.74284E-04    3.07408E+00    1.42467E-01    1.85866E-23    3.60685E+00    1.73629E-01    2.16411E+00    1.04177E-01
    3.79700E-02    5.06300E-02    1.01038E-02    1.71054E-04    3.58165E+00    1.73868E-01    1.95024E-23    5.30633E+00    2.72807E-01    3.18380E+00    1.63684E-01
    5.06300E-02    6.32900E-02    8.27112E-03    1.73072E-04    3.98752E+00    2.23475E-01    1.94433E-23    7.23855E+00    4.33028E-01    4.34313E+00    2.59817E-01
    6.32900E-02    7.59400E-02    7.11646E-03    1.79229E-04    4.39323E+00    2.73062E-01    1.93843E-23    9.29724E+00    6.23508E-01    5.57834E+00    3.74105E-01
    7.59400E-02    8.86000E-02    6.23335E-03    1.85242E-04    4.60580E+00    3.10155E-01    1.92534E-23    1.12037E+01    8.24657E-01    6.72220E+00    4.94794E-01
    8.86000E-02    1.01260E-01    5.49026E-03    1.88067E-04    4.79334E+00    3.40980E-01    1.93306E-23    1.31851E+01    1.04102E+00    7.91107E+00    6.24611E-01
    1.01260E-01    1.13920E-01    4.74978E-03    1.85372E-04    5.01695E+00    3.47557E-01    2.06623E-23    1.49235E+01    1.18662E+00    8.95408E+00    7.11970E-01
    1.13920E-01    1.26570E-01    4.23250E-03    1.81295E-04    4.97309E+00    3.46034E-01    2.05002E-23    1.67322E+01    1.36717E+00    1.00393E+01    8.20301E-01
    1.26570E-01    1.39230E-01    3.81904E-03    1.65563E-04    4.77974E+00    3.41026E-01    1.94991E-23    1.87378E+01    1.56435E+00    1.12427E+01    9.38610E-01
    1.39230E-01    1.51890E-01    3.43705E-03    1.55875E-04    4.77390E+00    3.64409E-01    1.94558E-23    2.08411E+01    1.85047E+00    1.25047E+01    1.11028E+00
    1.51890E-01    1.64540E-01    3.10688E-03    1.44129E-04    4.81524E+00    3.91676E-01    1.93812E-23    2.33452E+01    2.18603E+00    1.40071E+01    1.31162E+00
    1.64540E-01    1.77200E-01    2.81978E-03    1.36285E-04    4.95110E+00    4.26737E-01    1.92436E-23    2.66370E+01    2.63218E+00    1.59822E+01    1.57931E+00
    1.77200E-01    1.89860E-01    2.56709E-03    1.26938E-04    5.07247E+00    4.59530E-01    1.91107E-23    3.01846E+01    3.11533E+00    1.81107E+01    1.86920E+00
    1.89860E-01    2.02520E-01    2.32407E-03    1.20740E-04    4.92678E+00    4.50424E-01    1.90667E-23    3.24580E+01    3.41307E+00    1.94748E+01    2.04784E+00
    2.02520E-01    2.15170E-01    2.10401E-03    1.18235E-04    4.78114E+00    4.41321E-01    1.90227E-23    3.48734E+01    3.76859E+00    2.09240E+01    2.26116E+00
    2.15170E-01    2.27830E-01    1.90972E-03    1.12973E-04    4.63550E+00    4.32219E-01    1.89787E-23    3.73373E+01    4.12293E+00    2.24024E+01    2.47376E+00
    2.27830E-01    2.40490E-01    1.73872E-03    1.11060E-04    4.49795E+00    4.41553E-01    1.88517E-23    4.00606E+01    4.69186E+00    2.40364E+01    2.81512E+00
    2.40490E-01    2.53150E-01    1.59529E-03    1.05231E-04    4.36302E+00    4.56828E-01    1.86979E-23    4.27010E+01    5.28427E+00    2.56206E+01    3.17056E+00
    2.53150E-01    2.65800E-01    1.46739E-03    1.01974E-04    4.22815E+00    4.72096E-01    1.85442E-23    4.53607E+01    5.96563E+00    2.72164E+01    3.57938E+00
    2.65800E-01    2.78460E-01    1.35313E-03    1.01781E-04    4.09328E+00    4.87365E-01    1.83905E-23    4.80199E+01    6.76284E+00    2.88119E+01    4.05770E+00
    2.78460E-01    2.91120E-01    1.25567E-03    9.82166E-05    3.80483E+00    4.76147E-01    1.75307E-23    5.04596E+01    7.44667E+00    3.02758E+01    4.46800E+00
    2.91120E-01    3.03770E-01    1.18606E-03    1.00073E-04    3.48449E+00    4.59414E-01    1.65240E-23    5.19040E+01    8.12462E+00    3.11424E+01    4.87477E+00
    3.03770E-01    3.16430E-01    1.12255E-03    1.08129E-04    3.16416E+00    4.42680E-01    1.55174E-23    5.30296E+01    9.00749E+00    3.18178E+01    5.40449E+00
    3.16430E-01    3.29090E-01    1.06473E-03    1.11044E-04    2.84370E+00    4.25940E-01    1.45103E-23    5.37343E+01    9.80737E+00    3.22406E+01    5.88442E+00
    3.29090E-01    3.41750E-01    1.01121E-03    1.03009E-04    2.72410E+00    4.42138E-01    1.42269E-23    5.52781E+01    1.05927E+01    3.31669E+01    6.35561E+00
    3.41750E-01    3.54400E-01    9.43703E-04    1.00415E-04    2.71495E+00    4.76437E-01    1.43415E-23    5.85619E+01    1.20184E+01    3.51372E+01    7.21105E+00
    3.54400E-01    3.67060E-01    8.83874E-04    9.73885E-05    2.70580E+00    5.10736E-01    1.44561E-23    6.18215E+01    1.35118E+01    3.70929E+01    8.10709E+00
    3.67060E-01    3.79720E-01    8.30948E-04    8.46311E-05    2.69665E+00    5.45049E-01    1.45707E-23    6.50213E+01    1.47164E+01    3.90128E+01    8.82981E+00
    3.79720E-01    3.92380E-01    7.85923E-04    1.02519E-04    2.60115E+00    5.44380E-01    1.43795E-23    6.71931E+01    1.65704E+01    4.03159E+01    9.94223E+00
    3.92380E-01    4.05030E-01    7.83752E-04    5.25524E-05    2.27561E+00    4.50513E-01    1.33737E-23    6.33796E+01    1.32477E+01    3.80278E+01    7.94863E+00
