           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    4.50000E-04    8.90000E-04    1.48828E-01    1.52580E-03    1.91892E+00    7.84285E-03    1.92038E-23    1.96006E-01    2.16327E-03    1.17604E-01    1.29796E-03
    8.90000E-04    1.34000E-03    1.31662E-01    9.50797E-04    1.92290E+00    1.58058E-02    2.00315E-23    2.12847E-01    2.32884E-03    1.27708E-01    1.39731E-03
    1.34000E-03    1.79000E-03    1.19360E-01    6.47833E-04    1.92693E+00    2.38583E-02    2.08686E-23    2.25838E-01    3.05308E-03    1.35503E-01    1.83185E-03
    1.79000E-03    2.24000E-03    8.63471E-02    6.58430E-04    1.93326E+00    3.00000E-02    2.16454E-23    3.01968E-01    5.22107E-03    1.81181E-01    3.13264E-03
    2.24000E-03    2.68000E-03    7.71664E-02    5.79380E-04    1.94687E+00    3.00001E-02    2.22222E-23    3.31440E-01    5.68130E-03    1.98864E-01    3.40878E-03
    2.68000E-03    3.13000E-03    7.01690E-02    4.95057E-04    1.92990E+00    3.00001E-02    2.21741E-23    3.62099E-01    6.18140E-03    2.17259E-01    3.70884E-03
    3.13000E-03    3.58000E-03    6.23372E-02    4.28234E-04    1.90674E+00    3.00001E-02    2.19794E-23    4.06268E-01    6.97482E-03    2.43761E-01    4.18489E-03
    3.58000E-03    4.02000E-03    5.51067E-02    4.00868E-04    1.89368E+00    3.00000E-02    2.19167E-23    4.57732E-01    7.97940E-03    2.74639E-01    4.78764E-03
    4.02000E-03    4.47000E-03    4.77630E-02    4.05449E-04    1.90465E+00    3.00000E-02    2.13105E-23    5.46278E-01    9.77442E-03    3.27767E-01    5.86465E-03
    4.47000E-03    4.92000E-03    4.14461E-02    4.04348E-04    1.92146E+00    2.85420E-02    2.06535E-23    6.55296E-01    1.16457E-02    3.93178E-01    6.98741E-03
    4.92000E-03    5.37000E-03    3.62128E-02    4.11106E-04    1.92715E+00    2.28497E-02    2.04952E-23    7.58026E-01    1.24432E-02    4.54816E-01    7.46594E-03
    5.37000E-03    5.81000E-03    3.55265E-02    3.71022E-04    1.93244E+00    2.00001E-02    2.03691E-23    7.79589E-01    1.14624E-02    4.67753E-01    6.87745E-03
    5.81000E-03    6.26000E-03    3.50240E-02    3.31777E-04    1.93739E+00    2.00001E-02    2.02741E-23    7.96512E-01    1.11598E-02    4.77907E-01    6.69589E-03
