           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    2.52200E-02    5.96075E-02    7.56902E-04    4.57000E+00    3.70000E-01    1.94820E-23    1.14886E+00    9.41517E-02    6.89315E-01    5.64910E-02
    2.52200E-02    5.04400E-02    3.26701E-02    4.87706E-04    4.67427E+00    3.88400E-01    2.02403E-23    2.06362E+00    1.74218E-01    1.23817E+00    1.04531E-01
    5.04400E-02    7.56700E-02    1.65211E-02    6.29805E-04    5.26749E+00    4.93087E-01    2.09988E-23    4.43255E+00    4.48016E-01    2.65953E+00    2.68809E-01
    7.56700E-02    1.00890E-01    1.04457E-02    2.20685E-03    5.86072E+00    5.97774E-01    2.17573E-23    7.52821E+00    1.76613E+00    4.51692E+00    1.05968E+00
    1.00890E-01    1.26110E-01    7.88444E-03    3.12019E-04    6.44647E+00    7.02378E-01    2.25040E-23    1.06066E+01    1.22951E+00    6.36395E+00    7.37707E-01
    1.26110E-01    1.51330E-01    6.95573E-03    7.44640E-04    6.72400E+00    8.04326E-01    2.27596E-23    1.23995E+01    1.99048E+00    7.43970E+00    1.19429E+00
    1.51330E-01    1.76550E-01    5.45615E-03    6.65058E-04    7.00152E+00    9.06273E-01    2.30152E-23    1.62770E+01    2.89402E+00    9.76621E+00    1.73641E+00
    1.76550E-01    2.01780E-01    4.22044E-03    2.72561E-04    7.27910E+00    1.00824E+00    2.32709E-23    2.16367E+01    3.30668E+00    1.29820E+01    1.98401E+00
    2.01780E-01    2.27000E-01    3.31128E-03    3.23055E-04    7.55668E+00    1.11021E+00    2.35266E-23    2.83179E+01    4.99416E+00    1.69907E+01    2.99650E+00
    2.27000E-01    2.52220E-01    3.56507E-03    3.76231E-04    7.83421E+00    1.21216E+00    2.37822E-23    2.69748E+01    5.05210E+00    1.61849E+01    3.03126E+00
    2.52220E-01    2.77440E-01    2.38937E-03    2.71354E-04    7.86338E+00    1.25076E+00    2.38160E-23    4.03404E+01    7.88424E+00    2.42042E+01    4.73055E+00
    2.77440E-01    3.02660E-01    2.54012E-03    4.98825E-04    7.79924E+00    1.26556E+00    2.37666E-23    3.77151E+01    9.60774E+00    2.26291E+01    5.76465E+00
    3.02660E-01    3.27880E-01    2.17293E-03    6.36177E-04    7.73510E+00    1.28036E+00    2.37171E-23    4.38170E+01    1.47368E+01    2.62902E+01    8.84208E+00
    3.27880E-01    3.53110E-01    1.58163E-03    3.66631E-04    7.67095E+00    1.29517E+00    2.36676E-23    5.98237E+01    1.71561E+01    3.58942E+01    1.02936E+01
    3.53110E-01    3.78330E-01    1.56427E-03    2.56567E-04    7.60680E+00    1.30997E+00    2.36181E-23    6.01075E+01    1.42947E+01    3.60645E+01    8.57684E+00
    3.78330E-01    4.03550E-01    1.32364E-03    1.91135E-04    7.54266E+00    1.32477E+00    2.35686E-23    7.05836E+01    1.60491E+01    4.23502E+01    9.62943E+00
    4.03550E-01    4.28770E-01    1.28013E-03    3.42196E-04    7.47852E+00    1.33957E+00    2.35191E-23    7.25143E+01    2.33335E+01    4.35086E+01    1.40001E+01
    4.28770E-01    4.53990E-01    1.38777E-03    1.61587E-04    7.41438E+00    1.35437E+00    2.34697E-23    6.64559E+01    1.43958E+01    3.98736E+01    8.63751E+00
    4.53990E-01    4.79220E-01    1.09632E-03    2.58261E-04    7.35023E+00    1.36918E+00    2.34202E-23    8.35712E+01    2.50982E+01    5.01427E+01    1.50589E+01
    4.79220E-01    5.04440E-01    4.50082E-04    2.81927E-04    7.28607E+00    1.38398E+00    2.33707E-23    2.02215E+02    1.32362E+02    1.21329E+02    7.94169E+01
    5.04440E-01    5.29660E-01    1.00342E-03    1.35881E-04    7.22194E+00    1.39878E+00    2.33212E-23    9.00955E+01    2.12923E+01    5.40573E+01    1.27754E+01
    5.29660E-01    5.54880E-01    7.47547E-04    4.22128E-04    7.15780E+00    1.41359E+00    2.32717E-23    1.20115E+02    7.18552E+01    7.20687E+01    4.31131E+01
    5.54880E-01    5.80100E-01    9.06138E-04    1.64040E-04    7.09366E+00    1.42839E+00    2.32222E-23    9.84136E+01    2.66479E+01    5.90482E+01    1.59887E+01
    5.80100E-01    6.05330E-01    4.33392E-04    3.97848E-05    7.02951E+00    1.44319E+00    2.31728E-23    2.04338E+02    4.59543E+01    1.22603E+02    2.75726E+01
