           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    0.00000E+00    4.55000E-03    3.50188E-02    2.13991E-03    2.10000E+00    1.10000E-01    1.75906E-23    9.95226E-01    8.01011E-02    5.97135E-01    4.80607E-02
    4.55000E-03    9.10000E-03    2.45441E-02    8.92091E-04    2.10000E+00    1.10000E-01    1.80376E-23    1.38477E+00    8.82875E-02    8.30863E-01    5.29725E-02
    9.10000E-03    1.36500E-02    1.74728E-02    6.49804E-04    2.26980E+00    1.26980E-01    1.84845E-23    2.05163E+00    1.37822E-01    1.23098E+00    8.26931E-02
    1.36500E-02    1.82000E-02    1.25724E-02    5.58537E-04    2.52233E+00    1.52233E-01    1.89315E-23    3.09373E+00    2.31849E-01    1.85624E+00    1.39110E-01
    1.82000E-02    2.27500E-02    9.46016E-03    5.21898E-04    2.77487E+00    1.77487E-01    1.93785E-23    4.41883E+00    3.73245E-01    2.65130E+00    2.23947E-01
    2.27500E-02    2.73000E-02    7.46123E-03    5.13885E-04    3.03175E+00    2.03175E-01    1.95445E-23    6.06935E+00    5.83249E-01    3.64161E+00    3.49950E-01
    2.73000E-02    3.18600E-02    6.61565E-03    4.68282E-04    3.29318E+00    2.29318E-01    1.94343E-23    7.47752E+00    7.42472E-01    4.48651E+00    4.45483E-01
    3.18600E-02    3.64100E-02    5.60969E-03    4.52428E-04    3.55461E+00    2.55461E-01    1.93241E-23    9.57275E+00    1.03410E+00    5.74365E+00    6.20462E-01
    3.64100E-02    4.09600E-02    4.42315E-03    4.89558E-04    3.71908E+00    2.69923E-01    1.98925E-23    1.23395E+01    1.63320E+00    7.40372E+00    9.79919E-01
    4.09600E-02    4.55100E-02    3.88452E-03    4.89550E-04    3.86321E+00    2.81934E-01    2.06035E-23    1.40914E+01    2.05215E+00    8.45483E+00    1.23129E+00
    4.55100E-02    5.00600E-02    3.43718E-03    5.07520E-04    3.91023E+00    2.83088E-01    2.09553E-23    1.58485E+01    2.60628E+00    9.50912E+00    1.56377E+00
    5.00600E-02    5.46100E-02    3.89890E-03    3.96154E-04    3.75871E+00    2.62043E-01    2.05727E-23    1.36801E+01    1.68572E+00    8.20804E+00    1.01143E+00
    5.46100E-02    5.91600E-02    3.70585E-03    3.74759E-04    3.60719E+00    2.40999E-01    2.01902E-23    1.40742E+01    1.70584E+00    8.44455E+00    1.02351E+00
    5.91600E-02    6.37100E-02    3.57433E-03    3.37668E-04    3.70565E+00    2.78033E-01    1.97034E-23    1.53608E+01    1.85313E+00    9.21646E+00    1.11188E+00
    6.37100E-02    6.82600E-02    3.46841E-03    3.34009E-04    3.81656E+00    3.17961E-01    1.92114E-23    1.67212E+01    2.12921E+00    1.00327E+01    1.27752E+00
    6.82600E-02    7.28100E-02    3.33335E-03    3.29784E-04    3.92862E+00    3.36552E-01    1.91842E-23    1.79349E+01    2.34713E+00    1.07609E+01    1.40828E+00
    7.28100E-02    7.73600E-02    3.09209E-03    3.15956E-04    4.04118E+00    3.45931E-01    1.93577E-23    1.97099E+01    2.62733E+00    1.18260E+01    1.57640E+00
    7.73600E-02    8.19100E-02    2.91909E-03    3.01947E-04    4.23341E+00    3.79212E-01    1.94712E-23    2.17436E+01    2.97526E+00    1.30462E+01    1.78516E+00
    8.19100E-02    8.64600E-02    2.56083E-03    3.25661E-04    4.48666E+00    4.30802E-01    1.95388E-23    2.61775E+01    4.17134E+00    1.57065E+01    2.50280E+00
    8.64600E-02    9.10100E-02    2.60876E-03    3.04466E-04    4.53105E+00    4.32294E-01    1.95962E-23    2.58748E+01    3.90044E+00    1.55249E+01    2.34027E+00
    9.10100E-02    9.55700E-02    2.43500E-03    3.06930E-04    4.30282E+00    3.68388E-01    1.96405E-23    2.62655E+01    4.00223E+00    1.57593E+01    2.40134E+00
    9.55700E-02    1.00120E-01    2.46555E-03    2.74615E-04    4.18500E+00    3.37254E-01    1.95560E-23    2.53387E+01    3.48348E+00    1.52032E+01    2.09009E+00
    1.00120E-01    1.04670E-01    2.51835E-03    2.62515E-04    4.41126E+00    4.08237E-01    1.90707E-23    2.68141E+01    3.73772E+00    1.60885E+01    2.24263E+00
    1.04670E-01    1.09220E-01    2.29076E-03    2.87119E-04    4.63751E+00    4.79220E-01    1.85853E-23    3.17994E+01    5.16560E+00    1.90796E+01    3.09936E+00
    1.09220E-01    1.13770E-01    2.18247E-03    2.89164E-04    4.53796E+00    4.70723E-01    1.84000E-23    3.29896E+01    5.55114E+00    1.97938E+01    3.33068E+00
    1.13770E-01    1.18320E-01    1.97826E-03    2.94584E-04    4.43478E+00    4.61343E-01    1.82181E-23    3.59228E+01    6.52533E+00    2.15537E+01    3.91520E+00
    1.18320E-01    1.22870E-01    1.99887E-03    2.69109E-04    4.59787E+00    4.84819E-01    1.88753E-23    3.55763E+01    6.08384E+00    2.13458E+01    3.65031E+00
    1.22870E-01    1.27420E-01    2.02168E-03    2.48234E-04    4.80547E+00    5.13786E-01    1.96729E-23    3.52726E+01    5.74280E+00    2.11636E+01    3.44568E+00
    1.27420E-01    1.31970E-01    1.82016E-03    2.60088E-04    4.74382E+00    4.93454E-01    2.01785E-23    3.77063E+01    6.66438E+00    2.26238E+01    3.99863E+00
    1.31970E-01    1.36520E-01    1.78241E-03    2.43013E-04    4.60864E+00    4.59659E-01    2.06043E-23    3.66345E+01    6.18855E+00    2.19807E+01    3.71313E+00
    1.36520E-01    1.41070E-01    1.61475E-03    2.47286E-04    4.64704E+00    4.76795E-01    2.03649E-23    4.12545E+01    7.60468E+00    2.47527E+01    4.56281E+00
    1.41070E-01    1.45620E-01    1.75703E-03    2.23547E-04    4.75491E+00    5.14315E-01    1.98594E-23    3.97815E+01    6.64329E+00    2.38689E+01    3.98598E+00
    1.45620E-01    1.50170E-01    1.69535E-03    2.29756E-04    4.93101E+00    5.51834E-01    2.00795E-23    4.22870E+01    7.43218E+00    2.53722E+01    4.45931E+00
    1.50170E-01    1.54720E-01    1.72694E-03    2.11009E-04    5.15612E+00    5.89354E-01    2.08210E-23    4.18628E+01    7.00429E+00    2.51177E+01    4.20258E+00
    1.54720E-01    1.59280E-01    1.53262E-03    2.23117E-04    5.17335E+00    6.01294E-01    2.06374E-23    4.77491E+01    8.89498E+00    2.86495E+01    5.33699E+00
    1.59280E-01    1.63830E-01    1.68373E-03    2.04866E-04    4.93652E+00    5.81961E-01    1.93238E-23    4.42936E+01    7.50411E+00    2.65761E+01    4.50247E+00
    1.63830E-01    1.68380E-01    1.60460E-03    2.16805E-04    4.84741E+00    5.66623E-01    1.90157E-23    4.63782E+01    8.28596E+00    2.78269E+01    4.97158E+00
    1.68380E-01    1.72930E-01    1.57215E-03    1.93425E-04    4.99825E+00    5.57750E-01    2.03418E-23    4.56267E+01    7.57856E+00    2.73760E+01    4.54714E+00
    1.72930E-01    1.77480E-01    1.35658E-03    2.06602E-04    5.12719E+00    5.55053E-01    2.13976E-23    5.15647E+01    9.63497E+00    3.09389E+01    5.78098E+00
    1.77480E-01    1.82030E-01    1.44694E-03    1.87647E-04    5.10501E+00    5.94981E-01    2.05884E-23    5.00273E+01    8.72283E+00    3.00164E+01    5.23370E+00
    1.82030E-01    1.86580E-01    1.50712E-03    1.81251E-04    5.08283E+00    6.34909E-01    1.97792E-23    4.97775E+01    8.63124E+00    2.98665E+01    5.17875E+00
    1.86580E-01    1.91130E-01    1.60145E-03    1.69197E-04    5.31612E+00    6.94191E-01    1.99253E-23    4.86363E+01    8.16947E+00    2.91818E+01    4.90168E+00
    1.91130E-01    1.95680E-01    1.45242E-03    1.81819E-04    5.58674E+00    7.56301E-01    2.02110E-23    5.55600E+01    1.02443E+01    3.33360E+01    6.14659E+00
    1.95680E-01    2.00230E-01    1.36728E-03    1.89393E-04    5.44272E+00    7.22735E-01    1.99408E-23    5.82774E+01    1.11826E+01    3.49665E+01    6.70958E+00
    2.00230E-01    2.04780E-01    1.27231E-03    1.93643E-04    5.04287E+00    6.30140E-01    1.93275E-23    5.98677E+01    1.17893E+01    3.59206E+01    7.07357E+00
    2.04780E-01    2.09330E-01    1.39781E-03    1.68075E-04    4.75359E+00    5.57087E-01    1.89958E-23    5.22636E+01    8.77534E+00    3.13581E+01    5.26520E+00
    2.09330E-01    2.13880E-01    1.43547E-03    1.55306E-04    4.80964E+00    5.45076E-01    1.95435E-23    5.00495E+01    7.84183E+00    3.00297E+01    4.70510E+00
    2.13880E-01    2.18430E-01    1.46747E-03    1.39990E-04    4.86569E+00    5.33065E-01    2.00912E-23    4.81785E+01    6.99879E+00    2.89071E+01    4.19927E+00
    2.18430E-01    2.22990E-01    1.28034E-03    1.48171E-04    4.73933E+00    5.16975E-01    1.94651E-23    5.55159E+01    8.82892E+00    3.33096E+01    5.29735E+00
    2.22990E-01    2.27540E-01    1.32784E-03    1.41736E-04    4.55053E+00    4.99493E-01    1.84372E-23    5.42631E+01    8.30816E+00    3.25578E+01    4.98490E+00
    2.27540E-01    2.32090E-01    1.24954E-03    1.51530E-04    4.36193E+00    4.82031E-01    1.74104E-23    5.85333E+01    9.60343E+00    3.51200E+01    5.76206E+00
    2.32090E-01    2.36640E-01    1.36493E-03    1.33623E-04    4.36778E+00    4.95432E-01    1.75746E-23    5.31554E+01    7.96444E+00    3.18932E+01    4.77866E+00
    2.36640E-01    2.41190E-01    1.31888E-03    1.33529E-04    4.39921E+00    5.12894E-01    1.78956E-23    5.44135E+01    8.40211E+00    3.26481E+01    5.04126E+00
    2.41190E-01    2.45740E-01    1.27090E-03    1.32063E-04    4.43486E+00    5.30753E-01    1.82207E-23    5.59096E+01    8.86139E+00    3.35458E+01    5.31683E+00
    2.45740E-01    2.50290E-01    1.33101E-03    1.20822E-04    4.67270E+00    5.67602E-01    1.87450E-23    5.46746E+01    8.29100E+00    3.28048E+01    4.97460E+00
    2.50290E-01    2.54840E-01    1.35326E-03    1.13991E-04    4.91055E+00    6.04452E-01    1.92692E-23    5.49753E+01    8.19984E+00    3.29852E+01    4.91990E+00
    2.54840E-01    2.59390E-01    1.28762E-03    1.12493E-04    5.13409E+00    6.39786E-01    1.97542E-23    5.89251E+01    8.96777E+00    3.53551E+01    5.38066E+00
    2.59390E-01    2.63940E-01    1.25989E-03    1.12519E-04    4.96691E+00    6.33706E-01    1.91648E-23    6.00528E+01    9.35246E+00    3.60317E+01    5.61148E+00
    2.63940E-01    2.68490E-01    1.25988E-03    1.09375E-04    4.79972E+00    6.27626E-01    1.85754E-23    5.98733E+01    9.39755E+00    3.59240E+01    5.63853E+00
