CL_J1226.9+3332 12h26mn58s +33d32mn47s
M87 12h30mn49s +12d23mn28s
MACS_J0011.7-1523 00h11mn42s -15d23mn20s
MACS_J0257.1-2325 02h57mn09s -23d26mn06s
MACS_J1115.2+5320 11h15mn15s +53d20mn03s
NGC_4636 12h42mn49s +02d41mn16s
NGC_5044 13h15mn23s -16d23mn07s
RX_J0439.0+0715 04h39mn00s +07d16mn07s
RX_J0647.7+7015 06h47mn50s +70d14mn49s
RX_J1423.8+2404 14h23mn47s +24d04mn40s
RX_J1532.9+3021 15h32mn53s +30d20mn58s
RX_J1720.2+3536 17h20mn16s +35d36mn23s
2A_0335+096 03h38mn41s +09d58mn00s
2PIGG_J0011.5-2850 00h11mn21s -28d51mn14s
2PIGG_J2227.0-3041 22h27mn54s -30d34mn34s
3C_28.0 00h55mn50s +26d24mn36s
3C_295 14h11mn20s +52d12mn10s
4C_55.16 08h34mn54s +55d34mn21s
ABELL_0013 00h13mn37s -19d30mn09s
ABELL_0222 01h37mn34s -12d59mn34s
ABELL_0223 01h37mn55s -12d49mn10s
ABELL_0368 02h37mn27s -26d30mn28s
ABELL_1063S 22h48mn44s -44d31mn48s
EXO_0422-086 04h25mn51s -08d33mn36s
ESO_5520200 04h54mn52s -18d06mn56s
MACS_J0035.4-2015 00h35mn26s -20d15mn46s
MACS_J0242.5-2132 02h42mn35s -21d32mn26s
MACS_J0257.6-2209 02h57mn41s -22d09mn11s
MACS_J0308.9+2645 03h08mn55s +26d45mn38s
MACS_J0520.7-1328 05h20mn42s -13d28mn49s
MACS_J0547.0-3904 05h47mn01s -39d04mn28s
MACS_J1131.8-1955 11h31mn54s -19d55mn44s
MACS_J1206.2-0847 12h06mn12s -08d48mn02s
MACS_J1931.8-2634 19h31mn49s -26d34mn33s
MACS_J2049.9-3217 20h49mn56s -32d16mn52s
MACS_J2211.7-0349 22h11mn45s -03d49mn37s
MACS_J2228+2036 22h28mn33s +20d37mn18s
MACS_J2229.7-2755 22h29mn45s -27d55mn38s
MACS_J2245.0+2637 22h45mn04s +26d38mn03s
MKW_08 14h40mn39s +03d28mn13s
MS_0016.9+1609 00h18mn33s +16d26mn12s
MS_0116.3-0115 01h18mn53s -01d00mn07s
MS_0440.5+0204 04h43mn09s +02d10mn18s
MS_0451.6-0305 04h54mn11s -03d00mn52s
MS_0735.6+7421 07h41mn44s +74d14mn38s
MS_0839.8+2938 08h42mn55s +29d27mn26s
MS_0906.5+1110 09h09mn12s +10d58mn32s
MS_1006.0+1202 10h08mn47s +11d47mn36s
MS_1455.0+2232 14h57mn15s +22d20mn32s
MS_J1157.3+5531 11h59mn52s +55d32mn05s
M49 12h29mn46s +08d00mn01s
NGC_0507 01h23mn39s +33d15mn21s
NGC_5813 15h01mn11s +01d42mn07s
NGC_5846 15h06mn29s +01d36mn20s
OPHIUCHUS 17h12mn27s -23d22mn06s
RBS_0461 03h41mn17s +15d23mn54s
RX_J0220.9-3829 02h20mn56s -38d28mn51s
RX_J0232.2-4420 02h32mn18s -44d20mn46s
RX_J0439+0520 04h39mn02s +05d20mn43s
RX_J0528.9-3927 05h28mn53s -39d28mn15s
RX_J0819.6+6336 08h19mn26s +63d37mn26s
RX_J1000.4+4409 10h00mn32s +44d08mn39s
RX_J1022.1+3830 10h22mn10s +38d31mn23s
RX_J1130.0+3637 11h30mn02s +36d38mn08s
RX_J1320.2+3308 13h20mn14s +33d08mn33s
RX_J1504.1-0248 15h04mn07s -02d48mn15s
RX_J1720.1+2638 17h20mn09s +26d37mn29s
RX_J1852.1+5711 18h52mn08s +57d11mn42s
RX_J2129.6+0005 21h29mn39s +00d05mn18s
SERSIC_159-03 23h13mn58s -42d43mn34s
SS2B153 10h50mn26s -12d50mn41s
UGC_03957 07h40mn58s +55d25mn38s
ZwCl_0857.9+2107 09h00mn36s +20d53mn40s
ZWCL_1358+6245 13h59mn50s +62d31mn04s
ZWCL_1215 12h17mn41s +03d39mn15s
ZWCL_1742 17h44mn14s +32d59mn29s
ZWCL_1953 08h50mn06s +36d04mn16s
ZWCL_3146 10h23mn39s +04d11mn08s
ZWCL_7160 14h57mn15s +22d20mn33s
ZWICKY_2701 09h52mn49s +51d53mn05s
RX_J1539.5-8335 15h39mn32s -83d35mn23s
RCS_J2327-0204 23h27mn27s -02d04mn39s
UGC_12491 23h18mn38s +42d57mn29s
MACS_J1115.8+0129 hmns dmns
