#---                                  keV        keV        keV                            ---
#Name                                  Tx         lo         hi                      reference
1E0657_56                           10.60       0.20       0.20            2006A&A...456...55Z
2A_0335+096                          2.86       0.02       0.02            2001PhDT........88H
2PIGG_J0011.5-2850                 -99.00     -99.00     -99.00                             NA
2PIGG_J2227.0-3041                 -99.00     -99.00     -99.00                             NA
3C_28.0                            -99.00     -99.00     -99.00                             NA
3C_295                               6.51       1.00       1.00            2001PhDT........88H
3C_388                             -99.00     -99.00     -99.00                             NA
4C_55.16                           -99.00     -99.00     -99.00                             NA
ABELL_0013                         -99.00     -99.00     -99.00                             NA
ABELL_0068                           7.30       0.30       0.30            2008A&A...482..451Z
ABELL_0085                           6.45       0.10       0.10            2009ApJ...692.1033V
ABELL_0119                           5.62       0.12       0.12            2004ApJ...609..603H
ABELL_0133                           4.01       0.11       0.11            2009ApJ...692.1033V
ABELL_0141                           5.31       0.73       0.73            2004PASJ...56..965F
ABELL_0160                         -99.00     -99.00     -99.00                             NA
ABELL_0193                         -99.00     -99.00     -99.00                             NA
ABELL_0209                           7.10       0.30       0.30            2008A&A...482..451Z
ABELL_0222                           4.60       0.51       0.51            2001PhDT........88H
ABELL_0223                           5.28       0.5        0.50            2001PhDT........88H
ABELL_0262                           2.25       0.04       0.04            2002A&A...383..773I
ABELL_0267                           6.20       0.40       0.40            2008A&A...482..451Z
ABELL_0368                         -99.00     -99.00     -99.00                             NA
ABELL_0370                           7.04       0.50       0.52            2002AJ....124.2413N
ABELL_0383                           4.81       0.12       0.12            2006ApJ...640..691V
ABELL_0399                           6.49       0.17       0.17            2009ApJ...692.1033V
ABELL_0400                           2.43       0.07       0.08            2002A&A...383..773I
ABELL_0401                           7.72       0.30       0.30            2009ApJ...692.1033V
ABELL_0426                           6.42       0.04       0.04            2002A&A...383..773I
ABELL_0478                           7.94       0.12       0.12            2006ApJ...640..691V
ABELL_0496                           4.12       0.07       0.07            2009ApJ...692.1033V
ABELL_0520                           7.10       0.42       0.42            2004ApJ...605..695G
ABELL_0521                           5.85       0.23       0.23            2006A&A...446..417F
ABELL_0539                           3.04       0.06       0.07            2002A&A...383..773I
ABELL_0562                           3.84       0.79       0.79            2004PASJ...56..965F
ABELL_0576                           3.68       0.11       0.11            2009ApJ...692.1033V
ABELL_0586                           7.15       0.38       0.44            2000MNRAS.315..269A
ABELL_0611                           6.20       0.30       0.30            2004ApJ...614...56B
ABELL_0644                           6.54       0.16       0.16            2002A&A...383..773I
ABELL_0665                           7.70       0.30       0.30            2003ApJ...590..207P
ABELL_0697                           8.19       0.36       0.37            2004A&A...428..757O
ABELL_0744                           2.50       0.30       0.30            2001PhDT........88H
ABELL_0754                           8.73       0.20       0.20            2009ApJ...692.1033V
ABELL_0773                           8.30       0.40       0.40            2008A&A...482..451Z
ABELL_0907                           5.96       0.08       0.08            2006ApJ...640..691V
ABELL_0963                           6.50       0.20       0.20            2008A&A...482..451Z
ABELL_1060                           3.15       0.03       0.03            2002A&A...383..773I
