#band	freq		flux		fluxerr		type	line
#-	Hz		mJy		mJy		-	-
GFUV	1.961992526E+15	0.01952905	0.00405631	cont	none
GNUV	1.320090084E+15	0.00649832	0.00211509	cont	none
UVM2	1.359600000E+15	0.1165931	0.1165931	cont	none
UVW1	1.120700000E+15	0.0146158	0.00460000	cont	none
B	6.813464955E+14	0.06		0.00607280	cont	none
V	5.450771964E+14	0.08		0.00833333	cont	none
R	3.893408545E+14	0.149		0.03312390	cont	none
I	3.331027311E+14	0.28		0.04154800	cont	none
J	2.398339664E+14	0.49		0.03625150	cont	none
H	1.816923988E+14	0.76		0.06465970	cont	none
K	1.381532065E+14	0.89		0.06091720	cont	none
IRAS1	2.498270483E+13	120 		120 		cont	none
IRAS2	1.199169832E+13	90   		90   		cont	none
IRAS3	4.996540967E+12	180  		180  		cont	none
IRAS4	2.997924580E+12	1500		1500		cont	none

#Chan	4.836000000E+17	5.8850289e-08	5.8850289e-09	cont	none
#F606W	5.075200000E+14	0.0815		0.00815		cont	none
#F814W	3.598100000E+14	0.188		0.0188		cont	none
#VLA	4.500000000E+09 0.83		0.2		cont	none
