           #rin           rout          nelec         ne_err             tx         tx_err         lambda          5/2tc         tc_err          3/2tc         tc_err
           #Mpc            Mpc          cm^-3          cm^-3            keV            keV       e cm^3/s            Gyr            Gyr            Gyr            Gyr
    3.70000E-03    8.64000E-03    9.70043E-02    2.45892E-02    4.64000E+00    5.50000E-01    2.03499E-23    6.86197E-01    1.92019E-01    4.11718E-01    1.15211E-01
    8.64000E-03    1.35700E-02    8.61974E-02    1.70748E-02    4.64000E+00    5.50000E-01    2.06782E-23    7.59965E-01    1.75435E-01    4.55979E-01    1.05261E-01
    1.35700E-02    1.85000E-02    1.00564E-01    7.42451E-03    4.69482E+00    5.04316E-01    2.10063E-23    6.48800E-01    8.45674E-02    3.89280E-01    5.07404E-02
    1.85000E-02    2.34400E-02    8.35278E-02    6.19321E-03    4.77251E+00    4.58420E-01    2.13242E-23    7.82217E-01    9.49161E-02    4.69330E-01    5.69496E-02
    2.34400E-02    2.83700E-02    8.21030E-02    5.19807E-03    5.65679E+00    1.05345E+00    2.09135E-23    9.61765E-01    1.89174E-01    5.77059E-01    1.13505E-01
    2.83700E-02    3.33100E-02    7.09040E-02    4.48729E-03    5.14773E+00    7.71268E-01    2.00736E-23    1.05585E+00    1.71729E-01    6.33510E-01    1.03037E-01
    3.33100E-02    3.82400E-02    7.53374E-02    3.44060E-03    5.28723E+00    7.39760E-01    2.15607E-23    9.50251E-01    1.39857E-01    5.70151E-01    8.39143E-02
    3.82400E-02    4.31800E-02    5.60103E-02    3.49369E-03    6.00115E+00    9.85224E-01    2.23933E-23    1.39679E+00    2.45308E-01    8.38074E-01    1.47185E-01
    4.31800E-02    4.81100E-02    5.42423E-02    2.77435E-03    5.97329E+00    8.46848E-01    2.27218E-23    1.41487E+00    2.13244E-01    8.48921E-01    1.27947E-01
    4.81100E-02    5.30500E-02    4.36431E-02    2.80700E-03    5.94524E+00    7.85146E-01    2.31092E-23    1.72089E+00    2.52784E-01    1.03253E+00    1.51671E-01
    5.30500E-02    5.79800E-02    4.16828E-02    2.61783E-03    6.09241E+00    8.91381E-01    2.35858E-23    1.80911E+00    2.88046E-01    1.08547E+00    1.72828E-01
    5.79800E-02    6.29200E-02    3.00952E-02    3.16989E-03    6.48910E+00    1.44674E+00    2.30338E-23    2.73279E+00    6.73845E-01    1.63967E+00    4.04307E-01
