Name: RBS_0797
Obsid: 7902
Runname: annuli
Numann: 12
Fit confidence: 2.71
Fit emin-emax: 0.7-7.0 keV
Flux/Lum confidence: 90
Flux/Lum emin-emax: 0.001-100.0 keV
NH: frozen
redshift: frozen
Created: 2008-12-19 06:17:38 PM
-------------------------
rin rout
arcmin
-------------------------
Radius 1 0.0 0.1
Radius 2 0.1 0.12
Radius 3 0.12 0.15
Radius 4 0.15 0.2
Radius 5 0.2 0.25
Radius 6 0.25 0.32
Radius 7 0.32 0.42
Radius 8 0.42 0.54
Radius 9 0.54 0.71
Radius 10 0.71 0.91
Radius 11 0.91 1.13
Radius 12 1.13 1.38
-------------------------
name param bf lo hi
-------------------------
kT 5 4.379 3.505 5.911
Abundanc 7 1.12 0.0 0.0
norm 10 0.0003 0.0002492 0.0004577
kT 15 4.558 3.642 5.848
Abundanc 17 0.02845 0.0 0.0
norm 20 0.000908 0.0007429 0.0009859
kT 25 6.847 4.607 13.43
Abundanc 27 0.848 0.0 0.0
norm 30 0.0003736 0.0002613 0.0004441
kT 35 5.615 4.759 6.659
Abundanc 37 1.152 0.5584 1.753
norm 40 0.0007142 0.0006205 0.0008339
kT 45 5.425 4.084 7.812
Abundanc 47 0.2078 0.0 0.0
norm 50 0.0006638 0.0005476 0.0007426
kT 55 9.783 7.633 14.42
Abundanc 57 0.6727 0.09441 1.229
norm 60 0.000824 0.000739 0.0009236
kT 65 6.445 5.256 8.316
Abundanc 67 0.4042 0.02293 0.833
norm 70 0.0008461 0.000755 0.0009378
kT 75 8.201 6.017 12.3
Abundanc 77 0.1372 0.0 0.0
norm 80 0.0007732 0.0006804 0.0008308
kT 85 10.59 7.571 17.63
Abundanc 87 0.5573 0.0 1.269
norm 90 0.0006667 0.0005886 0.0007544
kT 95 8.694 5.999 16.32
Abundanc 97 0.2187 0.0 0.8298
norm 100 0.0005489 0.0004778 0.000612
kT 105 75.09 0.0 0.0
Abundanc 107 0.0 0.0 2.428
norm 110 0.0006001 0.0004536 0.000664
kT 115 9.218 7.554 11.96
Abundanc 117 1.063 0.5808 1.683
norm 120 0.0006218 0.0005615 0.0006818
-------------------------
chisq 1014.79
dof 1037.0
goodness 0.01 of 1000 simed realizations have a fit statistic < 1014.79
-------------------------
ergs/cm2/sec
Flux 1 1.2905e-12 1.1934e-12 1.3756e-12
Flux 2 5.535e-13 5.028e-13 5.8791e-13
Flux 3 5.69e-13 4.8757e-13 6.2923e-13
Flux 4 9.1289e-13 8.2819e-13 9.779e-13
Flux 5 7.5458e-13 6.607e-13 7.9474e-13
Flux 6 9.7856e-13 8.4095e-13 1.0646e-12
Flux 7 9.2575e-13 8.1129e-13 9.5706e-13
Flux 8 8.7716e-13 6.9081e-13 8.9536e-13
Flux 9 9.8764e-13 7.0055e-13 1.0537e-12
Flux 10 1.0152e-12 4.9074e-13 1.0004e-12
Flux 11 1.1561e-12 3.2622e-13 1.1658e-12
Flux 12 3.8203e-13 3.1422e-13 4.4873e-13
-------------------------
ergs/sec
Lumin 1 5.4753 5.0561 5.7906
Lumin 2 2.3483 2.1493 2.4674
Lumin 3 2.4129 2.1293 2.6388
Lumin 4 3.8696 3.5179 4.1125
Lumin 5 3.1958 2.8824 3.3693
Lumin 6 4.1406 3.5317 4.5025
Lumin 7 3.904 3.4155 3.9898
Lumin 8 3.6809 3.0272 3.8689
Lumin 9 4.1035 2.9649 4.2801
Lumin 10 4.1175 2.0375 4.069
Lumin 11 4.6102 1.5772 4.5522
Lumin 12 1.6218 1.2446 1.9138
-------------------------
cts/sec
Rate 1 0.1823 0.00219
Rate 2 0.07736 0.00143
Rate 3 0.07228 0.00138
Rate 4 0.1171 0.001761
Rate 5 0.09134 0.001564
Rate 6 0.1077 0.00171
Rate 7 0.1111 0.001761
Rate 8 0.09435 0.001673
Rate 9 0.09509 0.001755
Rate 10 0.08264 0.001736
Rate 11 0.07616 0.001787
Rate 12 0.07249 0.001867
-------------------------
