# Model: wabs(mekal) Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
RBS_0797                    7902     01   0.00  2.20  0.00  0.00 79.90 51.45 79.90 858.38 12.60 1000.00   1.64e-06   1.31e-06   6.44e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.007   99.9   8.45     25
RBS_0797                    7902     02   0.00  2.20  0.00  0.00  8.60  5.94 12.57  0.00  0.00  0.86   1.49e-04   1.26e-04   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.014   99.7   1.22     24
RBS_0797                    7902     03   0.00  2.20  0.00  0.00 11.30  7.61 18.87  0.91  0.14  1.88   1.47e-04   1.28e-04   1.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.016   99.8   1.11     27
RBS_0797                    7902     04   0.00  2.20  0.00  0.00  4.63  3.96  5.69  1.11  0.55  1.84   1.49e-04   1.25e-04   1.71e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.018   99.6   1.12     29
RBS_0797                    7902     05   0.00  2.20  0.00  0.00  6.33  4.95  8.88  0.64  0.00  3.03   1.63e-04   1.10e-04   1.90e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.017   99.5   1.13     29
RBS_0797                    7902     06   0.00  2.20  0.00  0.00  5.84  4.85  7.27  0.70  0.24  1.27   1.64e-04   1.43e-04   1.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.018   99.5   1.16     29
RBS_0797                    7902     07   0.00  2.20  0.00  0.00  4.85  4.12  5.94  0.92  0.40  1.59   1.57e-04   1.34e-04   1.80e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.019   99.4   1.13     30
RBS_0797                    7902     08   0.00  2.20  0.00  0.00  5.15  4.35  6.32  0.53  0.13  1.01   1.82e-04   1.60e-04   2.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.020   99.7   1.04     30
RBS_0797                    7902     09   0.00  2.20  0.00  0.00  5.87  4.91  7.27  0.55  0.13  1.06   1.76e-04   1.56e-04   1.97e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.019   99.4   1.14     31
RBS_0797                    7902     10   0.00  2.20  0.00  0.00  5.31  4.34  7.23  0.45  0.00  1.09   1.47e-04   1.25e-04   1.68e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.016   99.4   0.99     25
RBS_0797                    7902     11   0.00  2.20  0.00  0.00  8.95  6.27 14.78  1.01  0.13  2.03   1.44e-04   1.22e-04   1.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.016   99.4   1.43     27
RBS_0797                    7902     12   0.00  2.20  0.00  0.00  6.42  5.12  8.97  1.08  0.39  1.97   1.27e-04   1.05e-04   1.46e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.015   99.2   1.69     25
RBS_0797                    7902     13   0.00  2.20  0.00  0.00  5.92  4.86  7.51  0.42  0.00  0.95   1.72e-04   1.51e-04   1.92e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.019   99.4   1.21     31
RBS_0797                    7902     14   0.00  2.20  0.00  0.00  6.71  5.36  9.00  0.29  0.00  0.78   1.90e-04   1.69e-04   2.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.019   99.1   0.98     31
RBS_0797                    7902     15   0.00  2.20  0.00  0.00  6.09  4.90  8.23  0.79  0.19  1.53   1.34e-04   1.14e-04   1.53e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.015   99.3   0.73     24
RBS_0797                    7902     16   0.00  2.20  0.00  0.00  6.27  4.99  8.75  0.87  0.26  1.66   1.38e-04   1.17e-04   1.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.016   99.3   1.35     26
RBS_0797                    7902     17   0.00  2.20  0.00  0.00  6.34  5.19  8.08  0.88  0.39  1.47   1.87e-04   1.64e-04   2.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.021   98.6   0.94     35
RBS_0797                    7902     18   0.00  2.20  0.00  0.00  9.67  6.94 16.60  0.80  0.00  1.91   1.26e-04   1.04e-04   1.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.013   98.8   0.82     23
RBS_0797                    7902     19   0.00  2.20  0.00  0.00  8.13  6.22 11.42  0.60  0.00  1.36   1.67e-04   1.45e-04   1.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.017   98.5   0.92     29
