# Model: wabs(mekal) for annuli spectra using Abund angr; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
RBS_0797                    2202+7902   0.02   0.11  3.41  1.18  5.70  4.81  4.41  5.28  0.51  0.41  0.62   1.69e-03   1.58e-03   1.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.132   99.6   1.07    202
RBS_0797                    2202+7902   0.11   0.20  3.62  1.31  6.01  5.57  5.06  5.89  0.55  0.43  0.68   1.48e-03   1.39e-03   1.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.117   99.0   1.13    199
RBS_0797                    2202+7902   0.20   0.32  2.13  0.00  4.40  7.58  6.69  8.64  0.37  0.25  0.50   1.43e-03   1.35e-03   1.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.106   97.4   0.88    197
RBS_0797                    2202+7902   0.32   0.53  5.17  2.90  7.54  6.81  6.01  7.76  0.28  0.17  0.39   1.43e-03   1.35e-03   1.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.100   93.2   1.00    194
RBS_0797                    2202+7902   0.53   0.90  2.51  0.00  5.22  9.39  7.82 11.50  0.34  0.16  0.53   1.09e-03   1.02e-03   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.078   80.8   1.11    179
RBS_0797                    2202+7902   0.90   1.38  2.99  0.00  6.66  8.76  7.12 11.26  0.71  0.43  1.04   5.60e-04   5.06e-04   6.19e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.044   62.5   0.90    135
#RBS_0797                    2202+7902   1.38   1.84  1.96  0.00  7.59 13.85  9.37 30.33  2.42  1.22  4.63   2.68e-04   2.15e-04   3.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.021   47.6   1.34     94
#RBS_0797                    2202+7902   1.84   2.25  4.17  0.00 15.36 18.34  6.72 79.90  0.00  0.00  1.17   2.18e-04   1.75e-04   2.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.012   41.3   0.74     73
#RBS_0797                    2202+7902   2.25   2.61 13.52  0.00 31.65 14.00  4.94 79.90  0.00  0.00  4.36   1.33e-04   9.65e-05   1.79e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.007   36.1   0.83     61
#RBS_0797                    2202+7902   2.61   2.94  5.40  0.00 23.83 79.90  8.23 79.90  0.00  0.00  4.55   1.01e-04   6.34e-05   1.34e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.005   31.6   0.94     59
