# Model: wabs(mekal) for annuli spectra using Abund angr; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
RBS_0797                    2202+7902   0.02   0.11  2.22  0.00  0.00  5.01  4.75  5.29  0.50  0.40  0.61   1.65e-03   1.57e-03   1.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.132   99.6   1.07    203
RBS_0797                    2202+7902   0.11   0.20  2.22  0.00  0.00  5.85  5.51  6.22  0.55  0.43  0.68   1.45e-03   1.38e-03   1.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.117   99.0   1.13    200
RBS_0797                    2202+7902   0.20   0.32  2.22  0.00  0.00  7.55  6.96  8.23  0.37  0.25  0.50   1.43e-03   1.36e-03   1.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.106   97.4   0.88    198
RBS_0797                    2202+7902   0.32   0.53  2.22  0.00  0.00  7.73  7.08  8.50  0.26  0.14  0.38   1.37e-03   1.30e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.100   93.2   1.02    195
RBS_0797                    2202+7902   0.53   0.90  2.22  0.00  0.00  9.53  8.44 10.89  0.34  0.16  0.54   1.09e-03   1.02e-03   1.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.078   80.8   1.10    180
RBS_0797                    2202+7902   0.90   1.38  2.22  0.00  0.00  9.06  7.82 10.80  0.72  0.43  1.05   5.57e-04   5.07e-04   6.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.044   62.5   0.89    136
#RBS_0797                    2202+7902   1.38   1.84  2.22  0.00  0.00 13.54  9.99 22.52  2.19  1.24  4.12   2.75e-04   2.23e-04   3.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.021   47.6   1.32     95
#RBS_0797                    2202+7902   1.84   2.25  2.22  0.00  0.00 21.30 10.63 71.77  0.00  0.00  1.25   2.16e-04   1.74e-04   2.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.012   41.3   0.74     74
#RBS_0797                    2202+7902   2.25   2.61  2.22  0.00  0.00 50.42 12.25 79.90  0.00  0.00 10.11   1.40e-04   1.02e-04   1.80e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.007   36.1   0.85     62
#RBS_0797                    2202+7902   2.61   2.94  2.22  0.00  0.00 79.82 15.82 79.90  0.00  0.00  4.81   9.69e-05   6.30e-05   1.22e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.005   31.6   0.92     60
#RBS_0797                    2202+7902   2.94   3.27  2.22  0.00  0.00 79.87 11.27 79.90  0.00  0.00 44.40   8.90e-05   5.53e-05   1.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.004   29.1   1.30     56
