# Model: wabs(mekal) for annuli spectra using Abund angr; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                       ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%  chisq    dof
RBS_0797                    2202+7902   0.02   0.06  0.00  0.00  5.08  5.00  4.15  5.66  0.58  0.31  0.89   3.83e-04   3.43e-04   4.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.030   99.8   0.87     70
RBS_0797                    2202+7902   0.06   0.08  6.52  1.71 11.70  4.23  3.65  4.95  0.78  0.52  1.09   5.17e-04   4.63e-04   5.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.038   99.6   0.92     83
RBS_0797                    2202+7902   0.08   0.10  0.35  0.00  6.24  6.40  4.76  7.90  0.25  0.00  0.57   3.97e-04   3.55e-04   4.51e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.029   99.6   0.74     64
RBS_0797                    2202+7902   0.10   0.11  6.69  1.55 12.20  4.36  3.64  5.39  0.45  0.19  0.75   3.89e-04   3.35e-04   4.44e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.028   99.5   1.09     63
RBS_0797                    2202+7902   0.11   0.13  4.45  0.00 10.12  4.90  4.01  6.17  0.60  0.33  0.91   3.82e-04   3.29e-04   4.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.027   99.4   1.20     62
RBS_0797                    2202+7902   0.13   0.15  2.57  0.00  7.99  6.06  4.85  7.77  0.53  0.21  0.86   3.04e-04   2.67e-04   3.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.025   99.2   1.18     59
RBS_0797                    2202+7902   0.15   0.17  4.83  0.08  9.99  5.38  4.48  6.58  0.66  0.41  0.93   4.09e-04   3.58e-04   4.61e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.033   99.0   1.14     75
RBS_0797                    2202+7902   0.17   0.20  7.63  2.16 13.48  5.11  4.25  5.80  0.77  0.49  1.11   3.85e-04   3.38e-04   4.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.027   98.7   0.73     64
RBS_0797                    2202+7902   0.20   0.22  0.00  0.00  5.34  7.68  5.52  9.90  0.37  0.05  0.71   3.24e-04   2.92e-04   3.64e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.025   98.2   0.94     59
RBS_0797                    2202+7902   0.22   0.25  4.84  0.00 10.51  6.24  4.90  8.33  0.46  0.17  0.78   3.19e-04   2.76e-04   3.63e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.021   97.9   1.54     54
RBS_0797                    2202+7902   0.25   0.28  4.75  0.02 10.35  6.91  5.34  9.14  0.63  0.31  1.01   3.72e-04   3.26e-04   4.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.025   97.3   0.69     64
RBS_0797                    2202+7902   0.28   0.32  6.53  1.88 11.40  6.73  5.45  8.25  0.45  0.19  0.74   4.22e-04   3.69e-04   4.71e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.028   96.5   1.02     71
RBS_0797                    2202+7902   0.32   0.36  4.65  0.00 10.51  6.45  4.93  9.23  0.40  0.04  0.76   3.46e-04   3.04e-04   3.93e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.025   95.7   0.82     60
RBS_0797                    2202+7902   0.36   0.41  2.58  0.00  7.66  8.60  6.38 12.17  0.25  0.00  0.51   3.54e-04   3.15e-04   4.01e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.026   94.5   0.97     64
RBS_0797                    2202+7902   0.41   0.47  2.54  0.00  7.69  9.72  6.87 14.73  0.32  0.00  0.71   3.61e-04   3.22e-04   4.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.025   92.7   0.81     63
RBS_0797                    2202+7902   0.47   0.53  3.31  0.00  8.65  8.16  5.83 12.58  0.18  0.00  0.45   3.28e-04   2.88e-04   3.69e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.022   89.9   0.88     57
RBS_0797                    2202+7902   0.53   0.61  1.54  0.00  6.76 11.98  8.18 18.76  0.44  0.00  1.03   3.00e-04   2.61e-04   3.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.022   86.5   0.97     60
