# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep
1E0657_56                   3184     na     0.0405     0.0313     0.1460     0.1129     1.2934
1E0657_56                   5356     na     0.0321     0.0278     0.1187     0.1028     1.1547
1E0657_56                   5361     na     0.0375     0.0286     0.1353     0.1032     1.3104
1RXS_J2129.4-0741           3199     na     0.0548     0.0310     0.1978     0.1117     1.7712
1RXS_J2129.4-0741           3595     na     0.0305     0.0292     0.1100     0.1054     1.0441
3C_28.0                     3233     na     0.0303     0.0292     0.1091     0.1053     1.0369
3C_295                      2254     na     0.0292     0.0268     0.1053     0.0967     1.0883
3C_388                      5295     na     0.0290     0.0291     0.1045     0.1050     0.9946
4C_55.16                    4940     na     0.0239     0.0241     0.0222     0.0224     0.9943
ABELL_0068                  3250     na     0.0453     0.0316     0.1635     0.1140     1.4342
ABELL_0085                   904     na     0.0665     0.0448     0.1948     0.1312     1.4851
ABELL_0133                  2203     na     0.0570     0.0403     0.0447     0.0316     1.4138
ABELL_0267                  1448     na     0.2635     0.0972     0.6089     0.2245     2.7118
ABELL_0267                  3580     na     0.0431     0.0291     0.1555     0.1050     1.4801
ABELL_0370                   515     na     0.0573     0.0551     0.0398     0.0383     1.0383
ABELL_0383                  2321     na     0.0376     0.0416     0.0295     0.0326     0.9055
ABELL_0399                  3230     na     0.0341     0.0259     0.1277     0.0969     1.3172
ABELL_0478                  1669     na     0.0557     0.0379     0.0423     0.0287     1.4710
ABELL_0478                  6102     na     0.0432     0.0299     0.1560     0.1080     1.4439
ABELL_0496                  3361     na     0.0880     0.0243     0.0817     0.0226     3.6216
ABELL_0520                  4215     na     0.0374     0.0293     0.1348     0.1058     1.2740
ABELL_0521                   430     na     0.0525     0.0323     0.0412     0.0253     1.6245
ABELL_0576                  3289     na     0.0574     0.0242     0.0533     0.0225     2.3719
ABELL_0586                   530     na     0.0617     0.0468     0.1754     0.1329     1.3199
ABELL_0611                  3194     na     0.0244     0.0255     0.0226     0.0237     0.9553
ABELL_0644                  2211     na     0.0414     0.0291     0.1495     0.1049     1.4244
ABELL_0665                  3586     na     0.0321     0.0291     0.1159     0.1048     1.1059
ABELL_0697                  4217     na     0.0270     0.0297     0.0972     0.1072     0.9071
ABELL_0773                  5006     na     0.0306     0.0304     0.1105     0.1097     1.0066
ABELL_0781                   534     na     0.0473     0.0452     0.1344     0.1286     1.0456
ABELL_0907                  3185     na     0.0264     0.0271     0.0954     0.0979     0.9739
ABELL_0963                   903     na     0.0463     0.0437     0.0363     0.0343     1.0595
ABELL_1060                  2220     na     0.1437     0.0275     0.5184     0.0993     5.2199
ABELL_1063S                 4966     na     0.0284     0.0292     0.1025     0.1055     0.9718
ABELL_1068                  1652     na     0.0424     0.0398     0.0322     0.0302     1.0650
ABELL_1201                  4216     na     0.0403     0.0254     0.0374     0.0236     1.5838
ABELL_1204                  2205     na     0.0323     0.0274     0.1165     0.0988     1.1790
ABELL_1361                  2200     na     0.0563     0.0454     0.0442     0.0357     1.2392
ABELL_1413                  5003     na     0.0377     0.0287     0.1394     0.1062     1.3136
ABELL_1423                   538     na     0.0541     0.0473     0.1537     0.1344     1.1435
ABELL_1650                  4178     na     0.0439     0.0276     0.0407     0.0256     1.5905
ABELL_1651                  4185     na     0.0420     0.0308     0.1514     0.1112     1.3611
ABELL_1664                  1648     na     0.0336     0.0285     0.0312     0.0264     1.1816
ABELL_1689                  5004     na     0.0320     0.0284     0.1154     0.1024     1.1264
ABELL_1758                  2213     na     0.0464     0.0239     0.0431     0.0221     1.9444
ABELL_1763                  3591     na     0.0322     0.0288     0.1162     0.1039     1.1191
ABELL_1795                  5289     na     0.1162     0.0648     0.4191     0.2338     1.7924
ABELL_1835                   495     na     0.0658     0.0521     0.0457     0.0362     1.2616
ABELL_1914                  3593     na     0.0314     0.0300     0.1132     0.1083     1.0444
ABELL_1942                  3290     na     0.0403     0.0272     0.1494     0.1008     1.4817
ABELL_1991                  3193     na     0.0359     0.0216     0.0333     0.0200     1.6620
ABELL_2029                  4977     na     0.0782     0.0386     0.0594     0.0293     2.0266
ABELL_2029                  6101     na     0.0822     0.0314     0.2965     0.1133     2.6180
ABELL_2034                  2204     na     0.0289     0.0253     0.1041     0.0913     1.1403
ABELL_2069                  4965     na     0.0373     0.0281     0.1382     0.1039     1.3304
ABELL_2104                   895     na     0.0575     0.0434     0.0451     0.0341     1.3234
ABELL_2111                   544     na     0.0522     0.0461     0.1484     0.1311     1.1320
ABELL_2124                  3238     na     0.0424     0.0219     0.0394     0.0203     1.9403
ABELL_2125                  2207     na     0.0251     0.0284     0.0906     0.1025     0.8839
ABELL_2147                  3211     na     0.0745     0.0302     0.2716     0.1101     2.4678
