#Name                        ObsID  Instr  NH(10^20 cm^2)
1055+018                      2137      S            4.01
2PIGG_J0011.5-2850            5797      I            2.18
2PIGG_J0311.8-2655            5799      I            1.46
2PIGG_J2227.0-3041            5798      I            1.11
ABELL_0013                    4945      S            2.03
ABELL_0119                    4180      I            3.30
ABELL_0168                    3203      I            3.27
ABELL_0168                    3204      I            3.29
ABELL_0209                    3579      I            1.68
ABELL_0209                     522      I            1.68
ABELL_0514                    3578      I            3.14
ABELL_2631                    3248      I            3.74
ABELL_2717                    6974      I            1.12
ABELL_3128                     893      I            1.59
ABELL_3164                    6955      I            2.55
ABELL_3376                    3202      I            5.21
ABELL_3376                    3450      I            5.21
ABELL_3395                    4944      I            6.94
ABELL_3526                    4190      S            8.06
ABELL_3526                    4191      S            8.07
ABELL_3921                    4973      I            3.07
ABELL_4059                    5785      S            1.09
ABELL_4059                     897      S            1.09
DLS_J0514-4904                4980      I            2.52
ESO_3060170                   3188      I            3.45
ESO_3060170                   3189      I            3.43
EXO_0423.4-0840               3970      S            6.22
FORNAX                        4172      I            1.39
FORNAX                        4174      I            1.42
HCG_0062                       921      S            3.32
HCG_0097                      4988      S            3.63
IC_1633                       4971      I            2.17
IC_4296                       2021      S            4.12
IC_4296                       3394      S            4.12
NGC_0533                      2880      S            2.99
NGC_0720                       492      S            1.60
NGC_1132                      3576      S            6.04
NGC_1132                       801      S            6.04
NGC_1399                       239      I            1.39
NGC_1399                       319      S            1.39
NGC_1399                       320      I            1.39
NGC_1407                       791      S            5.95
NGC_1550                      3186      I           11.47
NGC_1550                      3187      I           11.47
NGC_2986                      5901      S            4.12
NGC_4936                      4997      I            6.18
NGC_4936                      4998      I            6.04
NGC_5044                       798      S            5.28
NGC_5419                      4999      I            5.31
NGC_5419                      5000      I            5.43
NGC_5813                      5907      S            4.29
NGC_5845                      4009      S            4.19
NGC_5846                       788      S            4.16
NGC_6868                      3191      I            4.81
PKS_1404-257                  1650      S            4.30
RX_J0117.8-5455               5832      S            2.63
RX_J0232.2-4420               4993      I            2.53
RX_J0340-4542                 6954      I            1.63
RX_J0419.6+0225               5800      S           11.52
RX_J0419.6+0225               5801      S           11.44
RX_J0528.9-3927               4994      I            2.36
RX_J1253.6-3931               5768      S            7.82
RX_J2011.3-5725               4995      I            4.76
RX_J2251.7-3206               5769      S            1.40
S0463                         6956      I            1.06
S0463                         7250      I            1.07
SC_1327-312                   4165      I            3.89
SC_1329-313                   4166      I            3.92
SDSSJ101314.86-005233.5       4085      S            4.29
SS2B153                       3243      S            4.12
