# Model: wabs(mekal) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm   Tx2  Tlo2  Thi2      Norm2       z     Cr  chisq    dof
2A_0335+096           919   0.00   0.30 19.31 17.56 21.13  1.70  1.65  1.76  0.59  0.52  0.67   6.68e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.853   1.96    160
2A_0335+096           919   0.30   0.46 20.99 19.27 22.76  1.96  1.89  2.03  0.69  0.61  0.79   6.41e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.782   1.38    165
2A_0335+096           919   0.46   0.62 22.55 20.93 24.18  2.11  2.03  2.19  0.66  0.57  0.75   9.52e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.873   1.16    181
2A_0335+096           919   0.62   0.80 24.73 23.10 26.39  2.42  2.33  2.52  0.77  0.67  0.88   8.41e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.762   1.14    181
2A_0335+096           919   0.80   1.02 25.44 23.87 27.04  2.71  2.60  2.81  0.63  0.55  0.72   9.21e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.779   1.12    196
2A_0335+096           919   1.02   1.31 24.01 22.43 25.57  3.05  2.93  3.19  0.69  0.61  0.79   7.57e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.770   1.23    209
2A_0335+096           919   1.31   1.70 23.86 22.39 25.36  3.54  3.38  3.70  0.66  0.57  0.75   7.42e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.781   1.18    226
2A_0335+096           919   1.70   2.19 23.76 22.33 25.20  3.60  3.45  3.77  0.63  0.54  0.73   7.95e-03  0.00  0.00  0.00   0.00e+00  0.0347  0.828   0.97    232
2A_0335+096           919   2.19   4.00 22.92 20.26 25.68  4.75  4.30  5.27  0.73  0.55  0.93   1.21e-02  0.00  0.00  0.00   0.00e+00  0.0347  1.225   1.01    333
ABELL_0133           2203   0.00   0.36  0.00  0.00  0.73  2.39  2.32  2.46  1.22  1.10  1.34   2.05e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.448   1.51    167
ABELL_0133           2203   0.36   0.76  0.00  0.00  1.19  3.14  3.01  3.24  0.97  0.85  1.08   2.44e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.440   1.25    191
ABELL_0133           2203   0.76   1.39  0.00  0.00  1.03  4.26  4.06  4.42  0.68  0.58  0.78   3.01e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.466   1.11    225
ABELL_0133           2203   1.39   2.50  0.51  0.00  2.69  4.93  4.41  5.46  0.53  0.34  0.74   2.83e-03  0.00  0.00  0.00   0.00e+00  0.0554  0.406   0.97    273
ABELL_0262           2215   0.00   0.66  3.48  1.78  5.00  1.37  1.34  1.40  0.48  0.44  0.53   3.15e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.615   2.73    144
ABELL_0262           2215   0.66   1.46  8.46  7.01  9.93  2.03  1.97  2.10  0.95  0.85  1.07   3.47e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.641   1.18    189
ABELL_0262           2215   1.46   3.00  4.50  0.99  7.94  2.65  2.39  2.97  0.84  0.61  1.18   3.18e-03  0.00  0.00  0.00   0.00e+00  0.0163  0.524   1.11    267
ABELL_0496           3361   0.00   0.68  3.91  2.51  5.33  2.65  2.54  2.76  0.82  0.72  0.93   9.36e-03  0.00  0.00  0.00   0.00e+00  0.0317  1.536   1.29    180
ABELL_0496           3361   0.68   1.35  4.07  2.78  5.40  3.88  3.70  4.08  0.79  0.68  0.91   1.01e-02  0.00  0.00  0.00   0.00e+00  0.0317  1.506   1.09    207
ABELL_0496           3361   1.35   2.50  2.58  0.00  5.47  4.43  3.88  5.08  0.52  0.30  0.77   7.44e-03  0.00  0.00  0.00   0.00e+00  0.0317  1.006   1.00    252
ABELL_1795            493   0.00   0.29  0.80  0.00  2.11  3.59  3.41  3.77  0.61  0.52  0.70   4.44e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.697   1.04    185
ABELL_1795            493   0.29   0.47  0.01  0.00  1.24  4.50  4.26  4.70  0.61  0.52  0.71   4.50e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.696   1.22    200
ABELL_1795            493   0.47   0.64  0.00  0.00  0.88  4.86  4.63  5.08  0.71  0.60  0.82   4.45e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.696   1.04    204
ABELL_1795            493   0.64   0.83  0.37  0.00  1.63  5.35  5.01  5.71  0.43  0.33  0.52   4.71e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.679   1.01    212
ABELL_1795            493   0.83   1.04  0.88  0.00  2.16  5.44  5.09  5.83  0.44  0.34  0.55   4.77e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.681   0.86    210
ABELL_1795            493   1.04   1.30  1.48  0.22  2.75  5.68  5.31  6.12  0.40  0.30  0.49   4.85e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.674   1.18    215
ABELL_1795            493   1.30   1.59  0.69  0.00  1.92  6.03  5.65  6.47  0.53  0.41  0.65   4.81e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.695   1.16    219
ABELL_1795            493   1.59   1.94  1.38  0.15  2.66  6.43  5.94  6.99  0.28  0.18  0.39   5.27e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.712   0.94    228
ABELL_1795            493   1.94   2.38  0.03  0.00  1.28  6.63  6.12  7.05  0.35  0.25  0.46   5.36e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.754   1.08    231
ABELL_1795            493   2.38   3.00  0.00  0.00  1.29  7.12  6.16  8.30  0.33  0.12  0.56   3.45e-03  0.00  0.00  0.00   0.00e+00  0.0622  0.477   1.10    252
ABELL_2029            891   0.00   0.24  4.96  3.73  6.25  4.90  4.65  5.17  0.89  0.75  1.01   4.64e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.671   1.35    213
ABELL_2029            891   0.24   0.40  2.35  1.13  3.59  7.42  6.89  8.02  0.67  0.52  0.82   4.93e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.669   0.99    226
ABELL_2029            891   0.40   0.56  2.17  0.96  3.40  7.45  6.94  8.05  0.59  0.45  0.73   4.94e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.663   0.96    223
ABELL_2029            891   0.56   0.72  2.49  1.22  3.79  7.84  7.16  8.60  0.40  0.28  0.52   5.17e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.666   1.00    228
ABELL_2029            891   0.72   0.90  2.32  1.10  3.55  8.05  7.42  8.79  0.59  0.45  0.73   5.06e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.672   1.07    228
ABELL_2029            891   0.90   1.10  3.45  2.06  4.79  8.37  7.67  9.32  0.56  0.40  0.72   4.70e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.604   1.15    231
ABELL_2029            891   1.10   1.33  2.45  1.14  3.74  8.55  7.76  9.60  0.35  0.22  0.48   5.27e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.667   1.17    233
ABELL_2029            891   1.33   1.60  3.58  2.33  4.86  8.44  7.68  9.34  0.35  0.23  0.48   5.53e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.689   0.97    235
ABELL_2029            891   1.60   1.93  1.75  0.45  3.09  9.92  8.84 11.24  0.37  0.23  0.53   5.52e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.699   1.01    243
ABELL_2029            891   1.93   2.34  1.71  0.50  2.96  9.42  8.52 10.49  0.50  0.35  0.66   5.58e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.722   1.11    251
ABELL_2029            891   2.34   3.00  1.97  0.84  3.11  9.35  8.52 10.35  0.33  0.20  0.47   7.33e-03  0.00  0.00  0.00   0.00e+00  0.0761  0.926   1.14    281
ABELL_2052            890   0.00   0.33  0.31  0.00  1.89  1.73  1.66  1.78  0.50  0.44  0.57   2.24e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.410   2.72    153
ABELL_2052            890   0.33   0.48  0.00  0.00  0.84  2.03  1.99  2.08  0.66  0.59  0.72   2.30e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.435   1.90    163
ABELL_2052            890   0.48   0.64  3.65  2.30  5.01  2.73  2.62  2.84  0.87  0.77  0.99   2.31e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.405   1.33    182
ABELL_2052            890   0.64   0.84  4.01  2.72  5.33  2.89  2.77  3.01  0.65  0.57  0.74   2.60e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.408   1.25    192
ABELL_2052            890   0.84   1.11  3.52  2.21  4.86  3.19  3.05  3.35  0.66  0.57  0.76   2.64e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.413   1.22    200
ABELL_2052            890   1.11   1.41  2.95  1.67  4.26  3.31  3.16  3.48  0.53  0.45  0.62   2.84e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.421   1.17    208
ABELL_2052            890   1.41   1.75  1.90  0.67  3.15  3.65  3.47  3.83  0.53  0.44  0.62   3.06e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.428   1.17    211
ABELL_2052            890   1.75   2.30  1.66  0.00  4.15  3.21  2.90  3.55  0.43  0.30  0.58   2.51e-03  0.00  0.00  0.00   0.00e+00  0.0353  0.346   1.03    252
HYDRA_A               576   0.00   0.32  3.50  2.27  4.75  3.19  3.05  3.34  0.52  0.46  0.60   5.38e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.787   1.15    192
HYDRA_A               576   0.32   0.55  3.44  2.17  4.73  3.34  3.18  3.51  0.41  0.35  0.48   5.32e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.748   1.33    185
HYDRA_A               576   0.55   0.81  4.88  3.61  6.14  3.49  3.32  3.68  0.40  0.34  0.47   5.39e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.727   1.33    194
HYDRA_A               576   0.81   1.19  4.18  2.92  5.45  3.70  3.51  3.91  0.36  0.30  0.42   5.90e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.741   1.09    198
HYDRA_A               576   1.19   2.00  2.69  0.00  5.55  3.38  2.96  3.86  0.30  0.18  0.45   4.50e-03  0.00  0.00  0.00   0.00e+00  0.0522  0.608   0.91    246
PKS_0745-191         2427   0.00   0.28 38.45 36.80 40.16  4.55  4.32  4.80  0.45  0.38  0.53   1.10e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.745   1.17    265
PKS_0745-191         2427   0.28   0.51 40.50 38.78 42.31  6.42  6.00  6.89  0.39  0.31  0.47   1.07e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.687   0.92    279
PKS_0745-191         2427   0.51   0.81 40.95 39.29 42.65  7.54  7.04  8.10  0.51  0.42  0.61   1.05e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.670   1.05    290
PKS_0745-191         2427   0.81   1.30 39.97 38.30 41.70  8.47  7.81  9.24  0.38  0.29  0.47   1.12e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.703   1.08    300
PKS_0745-191         2427   1.30   3.00 39.90 37.64 42.30 10.89  9.43 12.68  0.43  0.28  0.58   1.52e-02  0.00  0.00  0.00   0.00e+00  0.1028  0.917   0.91    352
