#Name                      Obsid                Xpeak                Ypeak                 Xp10                 Yp10
ABELL_0068                  3250         00:37:06.608         +09:09:28.34         00:37:04.913         +09:09:58.84
ABELL_0267                  0000         01:52:42.383         +01:00:48.54         01:52:41.990         +01:00:31.81
ABELL_0611                  3194         08:00:56.853         +36:03:23.67         08:00:56.812         +36:03:24.16
ABELL_0665                  0000         08:30:59.066         +65:50:22.03         08:30:58.193         +65:50:49.60
ABELL_0697                  4217         08:42:57.671         +36:21:58.64         08:43:00.604         +36:21:45.84
ABELL_0773                  0000         09:17:53.142         +51:43:41.41         09:17:51.394         +51:43:33.56
ABELL_0963                   903         10:17:03.662         +39:02:49.29         10:17:03.578         +39:02:50.27
ABELL_1576                  7938         12:36:58.128         +63:11:13.88         12:36:58.128         +63:11:14.37
ABELL_1758                  2213         13:32:38.271         +50:33:44.74         13:32:46.946         +50:32:22.60
ABELL_1763                  3591         13:35:16.479         +41:00:02.69         13:35:17.522         +40:59:56.79
ABELL_1914                  0000         14:26:03.143         +37:49:26.85         14:26:03.060         +37:49:27.34
ABELL_2218                  0000         16:35:50.620         +66:12:36.14         16:35:52.897         +66:12:31.71
ABELL_2261                  0000         17:22:27.254         +32:07:58.11         17:22:23.768         +32:07:52.67
ZWCL_3146                   0000         10:23:39.649         +04:11:10.87         10:23:42.708         +04:11:24.16
