#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
1E0657_56                  06:58:29.627       -55:56:39.79   0.2960    11.64   299.40   307.45   5.25e+45  -1.00e+00     UK   8.34e+40     NF     Y     Y     Y       Y
1E0657_56                  06:58:29.619       -55:56:39.35   0.2960    11.64   299.40   307.45   5.25e+45  -1.00e+00     UK   8.34e+40     NF     Y     Y     Y       Y
1E0657_56                  06:58:29.670       -55:56:39.80   0.2960    11.64   299.40   307.45   5.25e+45  -1.00e+00     UK   8.34e+40     NF     Y     Y     Y       Y
2A_0335+096                03:38:41.105       +09:58:00.66   0.0347     2.88     5.29     7.14   9.77e+44   2.58e+40      F   1.12e+40      F     Y     Y     Y       Y
2PIGG_J0011.5-2850         00:11:21.623       -28:51:14.44   0.0753     5.15    75.34   101.98   2.17e+44  -1.00e+00     UK   1.68e+40      F     N     N     N    NONE
2PIGG_J2227.0-3041         22:27:54.560       -30:34:34.84   0.0729     2.79    12.50    17.13   8.10e+43  -1.00e+00     UK   3.24e+41      F     N     N     N    NONE
3C_28.0                    00:55:50.401       +26:24:36.47   0.1952     5.53    20.68    23.85   4.83e+44  -1.00e+00     UK   1.63e+43      F     Y     Y     Y       Y
3C_295                     14:11:20.280       +52:12:10.55   0.4641     5.16    12.64    14.54   7.01e+44   2.32e+42      F   2.03e+45      F     N     N     Y       Y
3C_388                     18:44:02.365       +45:33:29.31   0.0917     3.23    17.01    17.03   5.30e+43  -1.00e+00     UK   1.29e+43      F     Y     Y     Y       Y
4C_55.16                   08:34:54.923       +55:34:21.15   0.2420     4.98    22.40    23.27   5.97e+44   8.00e+42      F   1.61e+44      F     N     N     N    NONE
ABELL_0013                 00:13:37.883       -19:30:09.10   0.0940     6.84   182.64   182.64   1.42e+44  -1.00e+00     UK   6.09e+39     NF     N     N     N    NONE
ABELL_0068                 00:37:06.475       +09:09:32.28   0.2546     9.01   217.34   217.34   1.28e+45   8.30e+40     NF   4.34e+40     NF     ?     ?     ?       ?
ABELL_0085                 00:41:50.406       -09:18:10.79   0.0558     6.40     7.26    12.50   5.30e+44   4.31e+39      F   4.61e+40      F     Y     Y     N       Y
ABELL_0119                 00:56:15.150       -01:14:59.70   0.0442     5.86   210.05   233.85   1.41e+44   1.65e+38     NF   1.25e+39     NF     N     N     N    NONE
ABELL_0133                 01:02:41.756       -21:52:49.79   0.0558     4.31    13.30    17.26   8.30e+43   6.53e+39      F   2.03e+39     NF     N     N     N    NONE
ABELL_0141                 01:05:34.385       -24:37:58.78   0.2300     5.31   144.07   205.03  -1.00e+00  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
ABELL_0160                 01:13:00.692       +15:29:15.08   0.0447     1.88   155.78   155.78   1.20e+43   2.13e+39     NF   1.02e+39     NF     ?     ?     ?       ?
ABELL_0193                 01:25:07.660       +08:41:57.08   0.0485     2.50   185.46   185.46  -1.00e+00   2.51e+39     NF   1.56e+40      F     ?     ?     ?       ?
ABELL_0209                 01:31:52.565       -13:36:38.79   0.2060     8.28   100.70   105.50   1.10e+45  -1.00e+00     UK   3.38e+40     NF     Y     Y     N       Y
ABELL_0209                 01:31:52.595       -13:36:39.25   0.2060     8.28   100.70   105.50   1.10e+45  -1.00e+00     UK   3.38e+40     NF     Y     Y     N       Y
ABELL_0222                 01:37:34.562       -12:59:34.88   0.2130     4.60   122.19   126.02   1.05e+45   5.62e+40     NF   2.66e+40     NF     ?     ?     ?       ?
ABELL_0223                 01:37:55.963       -12:49:10.53   0.2070     5.28   183.87   183.87   1.12e+45   5.29e+40     NF   1.98e+41      F     ?     ?     ?       ?
ABELL_0262                 01:52:46.299       +36:09:11.80   0.0164     2.18     9.42    10.57   1.05e+44  -1.00e+00     UK   4.35e+39      F     Y     Y     Y       Y
ABELL_0262                 01:52:46.318       +36:09:11.90   0.0164     2.18     9.42    10.57   1.05e+44  -1.00e+00     UK   4.35e+39      F     Y     Y     Y       Y
ABELL_0267                 01:52:42.269       +01:00:45.33   0.2300     6.79   168.26   168.56   8.62e+44   6.65e+40     NF   4.34e+40     NF     Y     Y     N       Y
ABELL_0267                 01:52:42.433       +01:00:45.63   0.2300     6.79   168.26   168.56   8.62e+44   6.65e+40     NF   4.34e+40     NF     Y     Y     N       Y
ABELL_0368                 02:37:27.640       -26:30:28.99   0.2200     6.23    47.51    50.87   6.22e+44  -1.00e+00     UK   6.48e+40      F     ?     ?     ?       ?
ABELL_0370                 02:39:53.169       -01:34:36.96   0.3747     7.35   321.92   321.92   1.21e+45  -1.00e+00     UK   1.34e+41     NF     Y     Y     Y       Y
ABELL_0383                 02:48:03.364       -03:31:44.69   0.1871     4.91    10.91    13.02   5.39e+44  -1.00e+00     UK   4.46e+41      F     Y     Y     Y       Y
ABELL_0399                 02:57:53.382       +13:01:30.86   0.0716     7.95   140.31   153.20   4.40e+44   5.61e+39     NF   3.43e+39     NF     N     N     N    NONE
ABELL_0400                 02:57:41.603       +06:01:27.61   0.0240     2.31   162.81   162.81   8.51e+43   6.00e+38     NF   2.84e+38     NF     ?     ?     ?       ?
ABELL_0401                 02:58:56.920       +13:34:14.51   0.0745     8.07   162.53   166.86   8.39e+44   6.09e+39     NF   3.72e+39     NF     N     N     N    NONE
ABELL_0401                 02:58:56.896       +13:34:14.48   0.0745     8.07   162.53   166.86   8.39e+44   6.09e+39     NF   3.72e+39     NF     N     N     N    NONE
ABELL_0426                 03:19:48.194       +41:30:40.73   0.0179     3.55    19.37    19.38   5.00e+45   1.46e+39      F   1.43e+42      F     ?     ?     ?       ?
ABELL_0426                 03:19:48.195       +41:30:41.20   0.0179     3.55    19.37    19.38   5.00e+45   1.46e+39      F   1.43e+42      F     ?     ?     ?       ?
ABELL_0478                 04:13:25.345       +10:27:55.15   0.0883     7.07     6.94     7.81   1.64e+45   6.03e+40      F   7.87e+40      F     Y     Y     Y       Y
ABELL_0478                 04:13:25.347       +10:27:55.62   0.0883     7.07     6.94     7.81   1.64e+45   6.03e+40      F   7.87e+40      F     Y     Y     Y       Y
ABELL_0496                 04:33:38.038       -13:15:39.65   0.0328     5.03     4.34     8.91   5.70e+43   7.18e+39      F   3.27e+40      F     Y     N     N       Y
ABELL_0520                 04:54:10.303       +02:55:36.48   0.2020     9.29   325.54   325.54   1.31e+45   5.01e+40     NF   3.24e+40     NF     Y     N     N       Y
ABELL_0521                 04:54:06.337       -10:13:16.88   0.2533     7.03   201.61   259.87   9.85e+44  -1.00e+00     UK   4.29e+40     NF     ?     ?     ?       ?
ABELL_0539                 05:16:37.335       +06:26:25.18   0.0288     3.24    19.60    22.59   1.82e+44  -1.00e+00     UK   4.13e+38     NF     ?     ?     ?       ?
ABELL_0539                 05:16:37.341       +06:26:25.20   0.0288     3.24    19.60    22.59   1.82e+44  -1.00e+00     UK   4.13e+38     NF     ?     ?     ?       ?
ABELL_0562                 06:53:21.524       +69:19:51.19   0.1100     3.04   202.06   202.06   2.14e+44  -1.00e+00     UK   6.77e+39     NF     ?     ?     ?       ?
ABELL_0576                 07:21:30.394       +55:45:41.95   0.0385     4.43    78.44    95.29   4.70e+43   1.57e+39     NF   9.43e+38     NF     N     N     N    NONE
ABELL_0586                 07:32:20.339       +31:37:58.59   0.1710     6.47    94.75    94.75   8.61e+44   3.50e+40     NF   4.91e+40      F     N     Y     N       Y
ABELL_0611                 08:00:56.832       +36:03:24.09   0.2880     7.06   124.93   124.93   1.09e+45   1.09e+41     NF   7.26e+40     NF     N     Y     N       Y
ABELL_0644                 08:17:25.225       -07:30:40.03   0.0698     7.73   132.36   132.36   7.61e+44   3.46e+39     NF   3.25e+39     NF     N     N     N    NONE
ABELL_0665                 08:30:59.226       +65:50:20.06   0.1810     7.45   134.57   134.57   1.35e+45   3.96e+40     NF   2.53e+40     NF     N     Y     Y       Y
ABELL_0697                 08:42:57.549       +36:21:57.65   0.2820     9.52   161.03   166.67   2.63e+45   1.04e+41     NF   6.92e+40     NF     Y     Y     N       Y
ABELL_0744                 09:07:20.455       +16:39:06.18   0.0729     2.50    60.30    63.42   8.91e+43   6.49e+40     NF   2.82e+39     NF     ?     ?     ?       ?
ABELL_0754                 09:09:18.188       -09:41:09.56   0.0543     9.94   270.39   270.39   3.31e+45   2.19e+39     NF   1.92e+39     NF     N     N     N    NONE
ABELL_0773                 09:17:52.566       +51:43:38.18   0.2170     7.83   244.32   244.32   1.30e+45   5.86e+40     NF   3.80e+40     NF     Y     Y     N       Y
ABELL_0907                 09:58:21.946       -11:03:50.73   0.1527     5.59    20.41    23.38   6.25e+44  -1.00e+00     UK   4.77e+41      F     N     Y     N       Y
ABELL_0907                 09:58:21.957       -11:03:50.81   0.1527     5.04    20.41    23.38   6.19e+44  -1.00e+00     UK   4.77e+41      F     N     Y     N       Y
ABELL_0907                 09:58:21.961       -11:03:50.54   0.1527     5.04    20.41    23.38   6.19e+44  -1.00e+00     UK   4.77e+41      F     N     Y     N       Y
ABELL_0963                 10:17:03.744       +39:02:49.17   0.2056     6.73    21.95    55.77   1.07e+45   5.21e+40     NF   3.37e+40     NF     Y     Y     N       Y
ABELL_1060                 10:36:42.828       -27:31:42.06   0.0125     3.29    58.06    72.00   1.00e+42  -1.00e+00     UK   9.60e+37     NF     N     N     N    NONE
ABELL_1063S                22:48:44.294       -44:31:48.37   0.3540    11.96   169.59   169.59   7.15e+45  -1.00e+00     UK   2.11e+41     NF     Y     Y     Y       Y
ABELL_1068                 10:40:44.520       +39:57:10.28   0.1375     4.62     9.03     9.11   4.77e+44   2.26e+42      F   1.28e+41      F     Y     Y     Y       Y
ABELL_1201                 11:12:54.489       +13:26:08.76   0.1688     5.61    39.18    64.81   4.08e+44   3.41e+40     NF   2.17e+40     NF     N     Y     N       Y
ABELL_1204                 11:13:20.419       +17:35:38.45   0.1706     3.63    14.07    15.31   3.98e+44   6.38e+40      F   2.22e+40     NF     Y     Y     N       Y
ABELL_1240                 11:23:38.357       +43:05:48.33   0.1590     4.77   429.36   462.40   1.01e+44  -1.00e+00     UK   1.51e+40     NF     ?     ?     ?       ?
ABELL_1361                 11:43:39.637       +46:21:20.41   0.1171     5.32    14.85    18.64   2.39e+44   7.75e+40      F   2.67e+42      F     ?     ?     ?       ?
ABELL_1413                 11:55:17.893       +23:24:21.84   0.1426     7.41    29.84    64.03   1.02e+45   2.38e+40     NF   1.60e+40     NF     N     Y     N       Y
ABELL_1423                 11:57:17.263       +33:36:37.44   0.2130     6.01    58.76    68.32   7.07e+44   5.62e+40     NF   4.60e+40     NF     ?     ?     ?       ?
ABELL_1446                 12:02:03.744       +58:02:17.93   0.1035     3.96   152.38   152.38   1.05e+44  -1.00e+00     UK   5.94e+39     NF     ?     ?     ?       ?
ABELL_1569                 12:36:26.015       +16:32:17.81   0.0735     2.51   110.10   110.10   3.50e+43  -1.00e+00     UK   2.87e+39     NF     ?     ?     ?       ?
ABELL_1576                 12:36:58.274       +63:11:13.88   0.2790    10.10   174.13   186.24   3.16e+45  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
ABELL_1644                 12:57:11.665       -17:24:32.86   0.0471     4.60    10.71    19.03  -1.00e+00   5.22e+39      F   5.63e+40      F     N     N     N    NONE
ABELL_1644                 12:57:11.689       -17:24:33.26   0.0471     4.60    10.71    19.03  -1.00e+00   5.22e+39      F   5.63e+40      F     N     N     N    NONE
ABELL_1650                 12:58:41.499       -01:45:44.32   0.0843     6.17    32.72    37.96   4.37e+44   5.04e+38     NF   4.84e+39     NF     N     N     N    NONE
ABELL_1651                 12:59:22.830       -04:11:45.86   0.0840     6.26    87.68    89.46   6.71e+44   7.81e+39     NF   8.52e+39     NF     N     N     N    NONE
ABELL_1664                 13:03:42.622       -24:14:41.59   0.1276     4.39     9.98    14.40   3.14e+44  -1.00e+00     UK   1.71e+41      F     ?     ?     ?       ?
ABELL_1664                 13:03:42.626       -24:14:41.69   0.1276     3.50     9.98    14.40  -1.00e+00  -1.00e+00     UK   1.71e+41      F     ?     ?     ?       ?
ABELL_1689                 13:11:29.612       -01:20:28.69   0.1843    10.10    78.44    78.44   2.47e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1689                 13:11:29.606       -01:20:28.61   0.1843     9.46    78.44    78.44   2.81e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1689                 13:11:29.595       -01:20:28.47   0.1843    10.10    78.44    78.44   2.47e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1736                 13:26:49.453       -27:09:48.13   0.0338     3.45   150.35   150.35   3.47e+44   6.80e+37     NF   7.22e+38     NF     N     N     N    NONE
ABELL_1758                 13:32:48.398       +50:32:32.53   0.2792    12.14   116.78   230.84   2.11e+45   1.02e+41     NF   6.76e+40     NF     Y     Y     N       Y
ABELL_1763                 13:35:17.957       +40:59:55.80   0.1866     7.78   214.69   214.69   9.33e+44   4.22e+40     NF   2.71e+40     NF     Y     Y     N       Y
ABELL_1795                 13:48:52.802       +26:35:23.55   0.0625     7.80    18.38    18.99   7.59e+44   8.77e+40      F   9.52e+41      F     N     Y     Y       Y
ABELL_1795                 13:48:52.829       +26:35:24.01   0.0625     6.08    18.38    18.99   7.81e+44   8.77e+40      F   9.52e+41      F     N     Y     Y       Y
ABELL_1835                 14:01:01.951       +02:52:43.18   0.2532     9.77    10.92    11.44   3.96e+45   5.04e+42      F   8.49e+41      F     Y     Y     Y       Y
ABELL_1914                 14:26:03.060       +37:49:27.84   0.1712     9.62    63.31   107.16   2.64e+45   3.51e+40     NF   2.24e+40     NF     Y     Y     N       Y
ABELL_1942                 14:38:21.878       +03:40:12.97   0.2240     4.77   107.73   107.73   2.30e+44   6.28e+40     NF   1.22e+43      F     ?     ?     ?       ?
ABELL_1991                 14:54:31.620       +18:38:41.48   0.0587     2.67     1.03     1.53   4.50e+43   5.96e+39      F   3.25e+40      F     Y     Y     N       Y
ABELL_1995                 14:52:57.410       +58:02:56.84   0.3186     3.40   374.35   374.35   3.80e+45  -1.00e+00     UK   7.29e+40     NF     N     N     N    NONE
ABELL_2029                 15:10:56.139       +05:44:40.47   0.0765     7.38     6.15    10.50   5.89e+45   6.43e+39     NF   8.22e+41      F     N     Y     N       Y
ABELL_2029                 15:10:56.163       +05:44:40.89   0.0765     7.38     6.15    10.50   5.89e+45   6.43e+39     NF   8.22e+41      F     N     Y     N       Y
ABELL_2029                 15:10:56.164       +05:44:40.55   0.0765     7.38     6.15    10.50   5.89e+45   6.43e+39     NF   8.22e+41      F     N     Y     N       Y
ABELL_2034                 15:10:12.498       +33:30:39.57   0.1130     7.15   215.80   232.64   6.50e+44   1.45e+40     NF   9.04e+39     NF     N     N     N    NONE
ABELL_2052                 15:16:44.514       +07:01:17.02   0.0353     2.98     8.86     9.45   5.13e+44   1.38e+40      F   1.74e+42      F     Y     Y     Y       Y
ABELL_2052                 15:16:44.543       +07:01:17.33   0.0353     2.98     8.86     9.45   5.13e+44   1.38e+40      F   1.74e+42      F     Y     Y     Y       Y
ABELL_2063                 15:23:04.851       +08:36:20.16   0.0351     3.61    53.51    53.51   4.27e+44   1.30e+39     NF   4.55e+39      F     N     N     N    NONE
ABELL_2063                 15:23:04.871       +08:36:20.50   0.0351     3.61    53.51    53.51   4.27e+44   1.30e+39     NF   4.55e+39      F     N     N     N    NONE
ABELL_2065                 15:22:29.517       +27:42:22.93   0.0730     5.75    33.09    43.95   2.95e+44   5.84e+39     NF   3.57e+39     NF     N     N     N    NONE
ABELL_2069                 15:24:11.376       +29:52:19.02   0.1160     6.50   416.24   453.25   3.85e+44   1.54e+40     NF   9.57e+39     NF     N     N     N    NONE
ABELL_2104                 15:40:08.131       -03:18:15.02   0.1554     8.53    98.01   160.61   6.98e+44   2.85e+40     NF   1.81e+40     NF     N     N     N    NONE
ABELL_2107                 15:39:39.113       +21:46:57.66   0.0411     3.82    17.98    21.24   3.02e+44   1.79e+39     NF   7.87e+38     NF     N     N     N    NONE
ABELL_2111                 15:39:40.637       +34:25:28.01   0.2300     7.13   107.36   107.36   7.51e+44   6.65e+40     NF   4.34e+40     NF     ?     ?     ?       ?
ABELL_2124                 15:44:59.131       +36:06:34.11   0.0658     4.73    88.66    98.31   4.60e+43   4.71e+39     NF   2.28e+39     NF     ?     ?     ?       ?
